"low bone density"
"thin bones"
"skeletal bone","37","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"osteoporosis","17","['disease or syndrome', 'finding']"
"calcium","15","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"fracture","15","['finding', 'injury or poisoning']"
"vitamins","10","['organic chemical', 'pharmacologic substance']"
"pharmaceutical preparations","8","['pharmacologic substance']"
"osteopenia","7","['pathologic function']"
"bone density","5","['clinical attribute', 'diagnostic procedure', 'disease or syndrome']"
"vertebral column","5","['body part, organ, or organ component']"
"physical therapy exercises","4","['therapeutic or preventive procedure']"
"ethanol","4","['organic chemical', 'pharmacologic substance']"
"myasthenia gravis","4","['disease or syndrome']"
"exercise pain management","3","['therapeutic or preventive procedure']"
"falls","3","['finding', 'injury or poisoning']"
"does play","2","['finding']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"eye","2","['body part, organ, or organ component', 'body substance']"
"minerals","2","['inorganic chemical']"
"multiple endocrine neoplasia","2","['antibiotic', 'neoplastic process', 'organic chemical']"
"heel","2","['body location or region', 'inorganic chemical', 'pharmacologic substance']"
"does throw","1","['finding']"
"fusion procedure","1","['therapeutic or preventive procedure']"
"estrogens","1","['pharmacologic substance']"
"seizures","1","['finding', 'sign or symptom']"
"yoga","1","['therapeutic or preventive procedure']"
"weight bearing","1","['finding']"
"dual-energy x-ray absorptiometry","1","['diagnostic procedure']"
"congenital kyphosis","1","['congenital abnormality']"
"balance exercises","1","['therapeutic or preventive procedure']"
"kyphoplasty","1","['therapeutic or preventive procedure']"
"posture brand of calcium phosphate tribasic","1","['inorganic chemical', 'pharmacologic substance']"
"spinal fractures","1","['finding', 'injury or poisoning']"
"bone structure of spine","1","['body part, organ, or organ component']"
"loss of height","1","['finding']"
"alcohol consumption","1","['individual behavior']"
"free weights individual each 15 minutes","1","['therapeutic or preventive procedure']"
"fractures compression","1","['pathologic function']"
"wrist","1","['body location or region']"
"smoking","1","['hazardous or poisonous substance', 'individual behavior']"
"behaviorial habits","1","['individual behavior']"
"nursing therapy","1","['therapeutic or preventive procedure']"
"radiography of hip","1","['diagnostic procedure']"
"testosterone","1","['pharmacologic substance']"
"bone mineral density test","1","['clinical attribute', 'diagnostic procedure', 'disease or syndrome']"
"ability to balance","1","['finding']"
"type of bone","1","['body part, organ, or organ component']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"raloxifene","1","['organic chemical', 'pharmacologic substance']"
"hip fractures","1","['injury or poisoning']"
"calcitonin","1","['organic chemical', 'pharmacologic substance']"
"at risk for falling","1","['finding']"
