"osteogenic sarcoma"
"skeletal bone","10","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"malignant neoplasms","8","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"pharmacotherapy","4","['therapeutic or preventive procedure']"
"upper arm","3","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"sore to touch","2","['sign or symptom']"
"positron-emission tomography","2","['diagnostic procedure']"
"fracture","2","['finding', 'injury or poisoning']"
"knee","2","['body part, organ, or organ component']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"excision","1","['therapeutic or preventive procedure']"
"cyclophosphamide","1","['biologically active substance', 'disease or syndrome', 'hazardous or poisonous substance', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"adriamycin","1","['organic chemical', 'pharmacologic substance']"
"effects of chemotherapy","1","['pathologic function']"
"malignant tumor of eye","1","['neoplastic process']"
"epirubicin","1","['diagnostic procedure', 'organic chemical', 'pharmacologic substance']"
"etoposide/ifosfamide regimen","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"tissue growth","1","['organ or tissue function']"
"methotrexate","1","['organic chemical', 'pharmacologic substance']"
"shin","1","['body location or region']"
"familial retinoblastoma","1","['neoplastic process']"
"redness","1","['finding']"
"leucovorin","1","['organic chemical', 'pharmacologic substance']"
"osteosarcoma of bone","1","['neoplastic process']"
"paraplatin","1","['organic chemical', 'pharmacologic substance']"
"ifex","1","['pharmacologic substance']"
"cisplatin","1","['congenital abnormality', 'disease or syndrome', 'inorganic chemical', 'mental or behavioral dysfunction', 'pharmacologic substance']"
"cytoxan","1","['pharmacologic substance']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"ifosfamide","1","['organic chemical', 'pharmacologic substance']"
"leg","1","['body location or region']"
"carboplatin","1","['organic chemical', 'pharmacologic substance']"
"etoposide","1","['pharmacologic substance']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"neoplasm metastasis","1","['neoplastic process']"
"pain and tenderness","1","['sign or symptom']"
"shoulder","1","['body location or region']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"amputation","1","['therapeutic or preventive procedure']"
"lung metastases","1","['neoplastic process']"
"doxorubicin","1","['antibiotic', 'finding', 'organic chemical']"
"thigh structure","1","['body location or region']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"anaplastic oligodendroglioma","1","['neoplastic process']"
"limb structure","1","['body part, organ, or organ component']"
