"ohss"
"ovarian hyperstimulation syndrome","14","['disease or syndrome']"
"pharmaceutical preparations","6","['pharmacologic substance']"
"infertility","5","['diagnostic procedure', 'disease or syndrome']"
"body fluids","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"ovary","4","['body part, organ, or organ component', 'disease or syndrome']"
"mild adverse event","3","['finding']"
"ultrasonography","3","['diagnostic procedure']"
"abdomen","3","['body location or region']"
"weight gain","3","['finding', 'sign or symptom']"
"respiratory air","2","['body substance']"
"injection procedure","2","['therapeutic or preventive procedure']"
"very high","2","['finding']"
"estrogens","2","['pharmacologic substance']"
"dyspnea","2","['sign or symptom']"
"blood clot","2","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"ovulation","2","['organ or tissue function']"
"malaise","2","['finding', 'sign or symptom']"
"level","2","['pharmacologic substance']"
"abdominal bloating","2","['sign or symptom']"
"deterioration of status","1","['finding']"
"liver function","1","['organ or tissue function']"
"proteins","1","['biologically active substance']"
"pain relieve brand of acetaminophen","1","['organic chemical', 'pharmacologic substance']"
"bed rest","1","['therapeutic or preventive procedure']"
"production processing id","1","['finding']"
"tests and testing","1","['diagnostic procedure']"
"tylenol","1","['organic chemical', 'pharmacologic substance']"
"transabdominal ultrasound","1","['diagnostic procedure']"
"kidney","1","['body part, organ, or organ component']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"excessive body weight gain","1","['finding']"
"ovarian cysts","1","['disease or syndrome']"
"albumins","1","['biologically active substance']"
"chest x-ray","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"fertilization in vitro","1","['therapeutic or preventive procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"leg","1","['body location or region']"
"gonadotropins","1","['pharmacologic substance']"
"injection of therapeutic agent","1","['therapeutic or preventive procedure']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"ultrasound chest","1","['diagnostic procedure']"
"human chorionic gonadotropin","1","['disease or syndrome', 'pharmacologic substance']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"nausea","1","['finding', 'sign or symptom']"
"egg preparation","1","['pharmacologic substance']"
"urine volume finding","1","['clinical attribute', 'finding']"
"fertility agents","1","['pharmacologic substance']"
"dizziness","1","['finding', 'sign or symptom']"
"electrolyte imbalance","1","['pathologic function']"
"veins","1","['body part, organ, or organ component']"
"cyst","1","['body substance', 'disease or syndrome']"
