"cramps - menstrual"
"dysmenorrhea"
"menstrual cramps"
"menstruation - painful"
"periods - painful"
"pharmaceutical preparations","4","['pharmacologic substance']"
"blood clot","4","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"uterus","4","['body part, organ, or organ component', 'disease or syndrome']"
"peripheral arterial diseases","2","['disease or syndrome', 'neoplastic process']"
"premenstrual syndrome","2","['disease or syndrome']"
"fibroid tumor","2","['neoplastic process']"
"oral contraception","2","['pharmacologic substance', 'therapeutic or preventive procedure']"
"pelvic viscus","2","['body part, organ, or organ component']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"sexually active","2","['finding']"
"dysmenorrhea primary","2","['disease or syndrome']"
"secondary dysmenorrhea","2","['pathologic function']"
"endometriosis site unspecified","2","['disease or syndrome']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"bathing","1","['finding', 'therapeutic or preventive procedure']"
"deterioration of status","1","['finding']"
"narcotics","1","['biologically active substance', 'hazardous or poisonous substance', 'pharmacologic substance']"
"sugars","1","['pharmacologic substance']"
"pain relieve brand of acetaminophen","1","['organic chemical', 'pharmacologic substance']"
"spastic syndrome","1","['disease or syndrome']"
"meditation therapy","1","['therapeutic or preventive procedure']"
"exercise aerobic","1","['therapeutic or preventive procedure']"
"belly of skeletal muscle","1","['body part, organ, or organ component']"
"calcium/magnesium","1","['inorganic chemical', 'pharmacologic substance']"
"prostaglandins","1","['biologically active substance', 'pharmacologic substance']"
"superior segmental bronchus","1","['body part, organ, or organ component']"
"ultrasonography","1","['diagnostic procedure']"
"normal menstruation - observation","1","['finding']"
"yoga","1","['therapeutic or preventive procedure']"
"antidepressive agents","1","['pharmacologic substance']"
"perform","1","['pharmacologic substance']"
"ask question","1","['finding']"
"caffeine","1","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"sodium chloride","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"scar tissue","1","['finding', 'pathologic function']"
"feeling relief","1","['finding', 'organic chemical', 'pharmacologic substance']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"anxiety disorders","1","['finding', 'mental or behavioral dysfunction']"
"fever","1","['finding']"
"hysterectomy","1","['therapeutic or preventive procedure']"
"leg","1","['body location or region']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"relaxation techniques","1","['therapeutic or preventive procedure']"
"anti-inflammatory agents","1","['pharmacologic substance']"
"cicatrix","1","['finding', 'pathologic function']"
"antibiotics","1","['antibiotic']"
"malaise","1","['finding', 'sign or symptom']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"neoplasm metastasis","1","['neoplastic process']"
"knee","1","['body part, organ, or organ component']"
"behavior showing increased motor activity","1","['finding']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"body fluid discharge","1","['body substance', 'therapeutic or preventive procedure']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"magnesium supplement","1","['inorganic chemical', 'pharmacologic substance']"
"sexually transmitted diseases","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"massage therapy","1","['therapeutic or preventive procedure']"
"vaginal discharge","1","['finding']"
"calcium","1","['biologically active substance', 'inorganic chemical', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"vitamin b6","1","['organic chemical', 'pharmacologic substance']"
"cyst","1","['body substance', 'disease or syndrome']"
