"pallor"
"skin - pale or gray"
"lithium","203","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","76","['biologically active substance', 'pharmacologic substance']"
"medical history","41","['finding']"
"uterine fibroids","39","['neoplastic process']"
"pallor","26","['finding', 'sign or symptom']"
"histone h3","24","['biologically active substance']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"rhythm","18","['finding']"
"hepatic","14","['body location or region']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"target lesion identification","7","['diagnostic procedure']"
"foot","6","['body part, organ, or organ component']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"therapeutic procedure","5","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"alanine transaminase","5","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"coloring excipient","5","['pharmacologic substance']"
"thrombasthenia","4","['disease or syndrome']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"muscular dystrophy","3","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"date allergenic extract","3","['pharmacologic substance']"
"anemia","3","['disease or syndrome']"
"choice behavior","3","['individual behavior']"
"eye","3","['body part, organ, or organ component', 'body substance']"
"surgical margins","3","['body part, organ, or organ component']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"oral region","3","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"general anesthesia","2","['enzyme', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"observation result","2","['finding']"
"bony process","2","['body part, organ, or organ component']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"syncope","2","['sign or symptom']"
"hypoglycemia","2","['disease or syndrome']"
"prealbumin","2","['biologically active substance']"
"limb structure","2","['body part, organ, or organ component']"
"dyspnea","2","['sign or symptom']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"formycin triphosphate","2","['pharmacologic substance']"
"anatomic site","2","['body location or region']"
"respiratory air","2","['body substance']"
"signs and symptoms","2","['sign or symptom']"
"does skip","2","['biologically active substance', 'finding']"
"hand","2","['body part, organ, or organ component']"
"educational status","2","['finding', 'individual behavior']"
"immunoconjugates","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"feces","2","['body substance']"
"core specimen","2","['body substance']"
"stat protein","1","['biologically active substance', 'finding']"
"gtpase-activating proteins","1","['biologically active substance']"
"frostbite","1","['injury or poisoning']"
"arteriography","1","['diagnostic procedure']"
"matrix attachment regions","1","['biologically active substance', 'clinical attribute']"
"compact pattern","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"expression procedure","1","['therapeutic or preventive procedure']"
"may-hegglin anomaly","1","['finding', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"pigment","1","['chemical viewed functionally']"
"skills","1","['individual behavior']"
"fibronectins","1","['biologically active substance']"
"malnutrition","1","['disease or syndrome']"
"anterior segmental vein","1","['body part, organ, or organ component']"
"anatomical layer","1","['body part, organ, or organ component']"
"electroconvulsive therapy","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"lip structure","1","['body part, organ, or organ component', 'disease or syndrome']"
"research outcome","1","['finding']"
"paroxysmal atrial fibrillation","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"complexion","1","['finding']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"leg","1","['body location or region']"
"vomiting","1","['body substance', 'finding', 'sign or symptom']"
"skin pigmentation disorder","1","['disease or syndrome', 'finding', 'individual behavior']"
"dna","1","['biologically active substance']"
"thymidine","1","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"nail plate","1","['body part, organ, or organ component', 'body substance']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"phosducin","1","['biologically active substance', 'disease or syndrome']"
"pigmentation disorders","1","['disease or syndrome', 'finding']"
"observation of color of skin","1","['finding']"
"craniodiaphyseal dysplasia","1","['congenital abnormality']"
"health advice","1","['finding']"
"pallor of skin","1","['finding', 'sign or symptom']"
"ask question","1","['finding']"
"doxorubicin","1","['antibiotic', 'finding', 'organic chemical']"
"blood loss","1","['clinical attribute', 'finding', 'pathologic function']"
"pulse rate","1","['clinical attribute']"
"anatomic border","1","['body location or region']"
"aplasia cutis congenita","1","['congenital abnormality', 'disease or syndrome']"
"parotid double-band protein","1","['biologically active substance']"
"melanins","1","['biologically active substance', 'organic chemical']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"blood supply aspects","1","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome', 'organ or tissue function']"
"face","1","['body location or region', 'disease or syndrome']"
"red blood cells blood product","1","['pharmacologic substance']"
"berman","1","['pharmacologic substance']"
