"parathyroid gland","5","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"skeletal bone","4","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"parathyroid hormone","4","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"parathyroid adenoma","3","['neoplastic process']"
"kidney calculi","3","['disease or syndrome']"
"ultrasonography","2","['diagnostic procedure']"
"vitamins","2","['organic chemical', 'pharmacologic substance']"
"fracture","2","['finding', 'injury or poisoning']"
"bone density","1","['clinical attribute', 'diagnostic procedure', 'disease or syndrome']"
"lethargy","1","['sign or symptom']"
"constipation","1","['finding', 'sign or symptom']"
"echography of kidney","1","['diagnostic procedure']"
"blood calcium level result","1","['laboratory or test result']"
"magnetic resonance imaging (mri) of neck","1","['diagnostic procedure']"
"sestamibi","1","['organic chemical', 'pharmacologic substance']"
"ultrasound of neck","1","['diagnostic procedure']"
"nephrocalcinosis","1","['disease or syndrome']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"benign neoplasm of parathyroid gland","1","['neoplastic process']"
"parathyroid neoplasms","1","['neoplastic process']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"hyperparathyroidism","1","['disease or syndrome']"
"physical findings","1","['finding']"
"calcification","1","['finding', 'organ or tissue function']"
"osteitis fibrosa disseminata","1","['congenital abnormality', 'disease or syndrome']"
"nausea","1","['finding', 'sign or symptom']"
"excision","1","['therapeutic or preventive procedure']"
"osteitis fibrosa cystica","1","['disease or syndrome']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"renal function","1","['organ or tissue function']"
"calcium increased level","1","['finding']"
