"paralysis agitans"
"shaking palsy"
"pharmaceutical preparations","11","['pharmacologic substance']"
"brain","9","['body part, organ, or organ component', 'disease or syndrome']"
"tremor","6","['finding', 'sign or symptom']"
"dopamine","5","['organic chemical', 'pharmacologic substance']"
"hallucinations","3","['mental or behavioral dysfunction']"
"support - dental","3","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"leg","3","['body location or region']"
"parkinsonian disorders","3","['disease or syndrome']"
"deterioration of status","3","['finding']"
"levodopa","3","['pharmacologic substance']"
"muscle movement","2","['finding']"
"confusion","2","['finding', 'mental or behavioral dysfunction']"
"falls","2","['finding', 'injury or poisoning']"
"drooling","2","['sign or symptom']"
"mild adverse event","2","['finding']"
"foot","2","['body part, organ, or organ component']"
"nervous system disorder","1","['disease or syndrome']"
"energy level","1","['finding']"
"bromocriptine","1","['organic chemical', 'pharmacologic substance']"
"reflex action","1","['finding', 'organ or tissue function']"
"stem of organ","1","['body part, organ, or organ component']"
"brain function","1","['organ or tissue function']"
"disability","1","['finding']"
"selegiline","1","['organic chemical', 'pharmacologic substance']"
"set of muscles","1","['body part, organ, or organ component']"
"posture brand of calcium phosphate tribasic","1","['inorganic chemical', 'pharmacologic substance']"
"anxiety disorders","1","['finding', 'mental or behavioral dysfunction']"
"azilect","1","['organic chemical', 'pharmacologic substance']"
"expression procedure","1","['therapeutic or preventive procedure']"
"armodafinil","1","['organic chemical', 'pharmacologic substance']"
"blinking","1","['organ or tissue function']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"memory loss","1","['mental or behavioral dysfunction', 'sign or symptom']"
"mirapex","1","['organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"requip","1","['organic chemical', 'pharmacologic substance']"
"control of movement","1","['finding']"
"disorientation","1","['finding', 'mental or behavioral dysfunction']"
"adverse event associated with death","1","['finding']"
"rivastigmine","1","['organic chemical', 'pharmacologic substance']"
"sinemet","1","['organic chemical', 'pharmacologic substance']"
"amantadine","1","['organic chemical', 'pharmacologic substance']"
"midodrine","1","['organic chemical', 'pharmacologic substance']"
"dizziness","1","['finding', 'sign or symptom']"
"deprenyl","1","['organic chemical', 'pharmacologic substance']"
"constipation","1","['finding', 'sign or symptom']"
"saliva","1","['body substance']"
"speech therapy","1","['finding', 'therapeutic or preventive procedure']"
"lip structure","1","['body part, organ, or organ component', 'disease or syndrome']"
"medication dose","1","['clinical attribute']"
"activity level","1","['finding']"
"muscular atrophy","1","['disease or syndrome']"
"diarrhea and vomiting","1","['sign or symptom']"
"atrophic","1","['disease or syndrome', 'pathologic function']"
"adverse reaction to drug","1","['injury or poisoning']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"memory observations","1","['finding']"
"operative surgical procedures","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"other medications","1","['pharmacologic substance']"
"sleep disorders","1","['disease or syndrome', 'sign or symptom']"
"talking with your doctor","1","['individual behavior']"
"deep brain stimulation","1","['therapeutic or preventive procedure']"
"limb structure","1","['body part, organ, or organ component']"
"early death","1","['finding']"
"eldepryl","1","['organic chemical', 'pharmacologic substance']"
"swallowing problems","1","['sign or symptom']"
"speech impairment","1","['finding', 'mental or behavioral dysfunction']"
"zolpidem","1","['organic chemical', 'pharmacologic substance']"
"aspirating","1","['body substance', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"atamet","1","['organic chemical', 'pharmacologic substance']"
"pramipexole","1","['organic chemical', 'pharmacologic substance']"
"entacapone","1","['organic chemical', 'pharmacologic substance']"
"vitality","1","['finding']"
"mood disorders","1","['mental or behavioral dysfunction']"
"botox","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"physical stress","1","['pathologic function']"
"secondary parkinson disease","1","['disease or syndrome']"
"ability to balance","1","['finding']"
"myalgia","1","['finding', 'sign or symptom']"
"other counseling","1","['therapeutic or preventive procedure']"
"ropinirole","1","['organic chemical', 'pharmacologic substance']"
"nausea and vomiting","1","['sign or symptom']"
"tissue damage","1","['injury or poisoning']"
"counselling service","1","['therapeutic or preventive procedure']"
"heart rate","1","['clinical attribute']"
"dementia","1","['mental or behavioral dysfunction']"
"neurological observations","1","['finding']"
"involuntary movements","1","['sign or symptom']"
"antidepressive agents","1","['pharmacologic substance']"
"parlodel","1","['organic chemical', 'pharmacologic substance']"
"transplantation","1","['therapeutic or preventive procedure']"
"stem cell transplant","1","['therapeutic or preventive procedure']"
"stimulation procedure","1","['therapeutic or preventive procedure']"
"carbidopa","1","['organic chemical', 'pharmacologic substance']"
"tension","1","['mental or behavioral dysfunction', 'sign or symptom']"
"clonazepam","1","['organic chemical', 'pharmacologic substance']"
"galantamine","1","['organic chemical', 'pharmacologic substance']"
"hand","1","['body part, organ, or organ component']"
"fludrocortisone","1","['pharmacologic substance']"
"delirium","1","['mental or behavioral dysfunction']"
"rasagiline","1","['organic chemical', 'pharmacologic substance']"
"memantine","1","['organic chemical', 'pharmacologic substance']"
"face","1","['body location or region', 'disease or syndrome']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"duloxetine","1","['organic chemical', 'pharmacologic substance']"
"muscle function","1","['finding', 'organ or tissue function']"
