"perinephric abscess"
"perinephric abscess","9","['disease or syndrome']"
"kidney calculi","5","['disease or syndrome']"
"urinary tract","4","['body part, organ, or organ component']"
"antibiotics","2","['antibiotic']"
"pus","2","['body substance']"
"chills and fever","2","['sign or symptom']"
"physical findings","1","['finding']"
"inguinal region","1","['body location or region']"
"back","1","['body location or region']"
"both kidneys","1","['body part, organ, or organ component']"
"sore to touch","1","['sign or symptom']"
"urinary tract infection","1","['disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"ultrasonography of abdomen","1","['diagnostic procedure']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"leg","1","['body location or region']"
"urinary bladder","1","['body part, organ, or organ component']"
"reproductive system finding","1","['finding']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"pain burning","1","['sign or symptom']"
"sweat","1","['body substance', 'finding']"
"prevention of infection","1","['therapeutic or preventive procedure']"
"veins","1","['body part, organ, or organ component']"
