"secondary peritonitis"
"secondary peritonitis","5","['disease or syndrome']"
"intestines","4","['body part, organ, or organ component']"
"physical findings","3","['finding']"
"dental caries","3","['disease or syndrome']"
"peritoneum","2","['body part, organ, or organ component']"
"inflammation","2","['pathologic function']"
"pancreatic enzyme","2","['enzyme', 'pharmacologic substance']"
"fever","2","['finding']"
"tract","2","['body part, organ, or organ component']"
"enzymes","2","['enzyme', 'organic chemical']"
"body fluids","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"hole finding","2","['finding']"
"knife wound","1","['injury or poisoning']"
"septicemia","1","['disease or syndrome', 'finding', 'pathologic function']"
"peritoneal dialysis","1","['therapeutic or preventive procedure']"
"pain medicines","1","['pharmacologic substance']"
"gangrene","1","['disease or syndrome']"
"heart rate","1","['clinical attribute']"
"kidney","1","['body part, organ, or organ component']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"abscess","1","['disease or syndrome', 'pathologic function']"
"complete recovery","1","['finding']"
"gastric ulcer","1","['disease or syndrome', 'finding']"
"abdomen distended","1","['finding']"
"urine volume finding","1","['clinical attribute', 'finding']"
"source","1","['finding']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"rupture of appendix","1","['injury or poisoning']"
"tachycardia","1","['finding']"
"nausea","1","['finding', 'sign or symptom']"
"gunshot wound","1","['injury or poisoning']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"perforation of colon","1","['finding', 'injury or poisoning']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"renal function","1","['organ or tissue function']"
"abdominal cavity","1","['body location or region']"
"antibiotics","1","['antibiotic']"
"liver","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"tissue adhesions","1","['pathologic function']"
"oliguria","1","['sign or symptom']"
"vital signs","1","['clinical attribute']"
"pancreas","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"adverse event associated with death","1","['finding']"
"abdominal organ","1","['body part, organ, or organ component']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"pathological dilatation","1","['pathologic function', 'therapeutic or preventive procedure']"
"nose","1","['body part, organ, or organ component', 'disease or syndrome']"
"colonic diseases","1","['disease or syndrome']"
"veins","1","['body part, organ, or organ component']"
"decrease in appetite","1","['sign or symptom']"
"enterocolitis necrotizing","1","['disease or syndrome']"
