"acute abdomen"
"peritonitis","9","['disease or syndrome']"
"body fluids","3","['biologically active substance', 'body substance', 'pharmacologic substance']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"scanning","1","['diagnostic procedure', 'finding']"
"peritoneum","1","['body part, organ, or organ component']"
"deterioration of status","1","['finding']"
"respiratory air","1","['body substance']"
"heart beat","1","['organ or tissue function']"
"x-ray computed tomography","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"life threatening","1","['finding']"
"dyspnea","1","['sign or symptom']"
"excessive flatulence","1","['sign or symptom']"
"touch sensation","1","['organ or tissue function']"
"inflammation","1","['pathologic function']"
"secondary peritonitis","1","['disease or syndrome']"
"fever","1","['finding']"
"antibiotics","1","['antibiotic']"
"pathological dilatation","1","['pathologic function', 'therapeutic or preventive procedure']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"abdomen distended","1","['finding']"
"abdominal organ","1","['body part, organ, or organ component']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"feces","1","['body substance']"
"nausea and vomiting","1","['sign or symptom']"
"chills","1","['sign or symptom']"
"abdominal abscess","1","['disease or syndrome']"
