"congenital pernicious anemia"
"juvenile pernicious anemia"
"macrocytic achylic anemia"
"vitamin b12 deficiency (malabsorption)"
"vitamin b 12","17","['organic chemical', 'pharmacologic substance']"
"vitamins","15","['organic chemical', 'pharmacologic substance']"
"anemia","14","['disease or syndrome']"
"anemia pernicious","8","['disease or syndrome']"
"intrinsic factor","4","['biologically active substance', 'pharmacologic substance']"
"vitamin b 12 deficiency","3","['disease or syndrome']"
"proteins","3","['biologically active substance']"
"tissue damage","2","['injury or poisoning']"
"neurological observations","2","['finding']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"smear test","2","['diagnostic procedure']"
"childhood immunization","2","['therapeutic or preventive procedure']"
"fatigue","2","['sign or symptom']"
"carcinoid tumor","2","['neoplastic process']"
"red blood cells blood product","2","['pharmacologic substance']"
"lifetime drinking history","1","['enzyme', 'finding']"
"macro aggregate albumin","1","['biologically active substance', 'organic chemical']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"constipation","1","['finding', 'sign or symptom']"
"gingival hemorrhage","1","['finding']"
"schilling test","1","['diagnostic procedure']"
"swelling","1","['finding', 'pathologic function']"
"respiratory air","1","['body substance']"
"dyspnea","1","['sign or symptom']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"vitamin a","1","['organic chemical', 'pharmacologic substance']"
"anemia megaloblastic","1","['disease or syndrome']"
"leukocyte alkaline phosphatase","1","['enzyme']"
"papaverine","1","['enzyme', 'organic chemical', 'pharmacologic substance']"
"polyposis gastric","1","['disease or syndrome']"
"gastrin","1","['pharmacologic substance']"
"physical findings","1","['finding']"
"hypoparathyroidism","1","['disease or syndrome']"
"pallor","1","['finding', 'sign or symptom']"
"nerve damage","1","['injury or poisoning']"
"serum total iron-binding capacity result","1","['laboratory or test result']"
"chronic thyroiditis","1","['disease or syndrome']"
"diabetes mellitus insulin-dependent","1","['disease or syndrome']"
"diarrhea","1","['finding', 'sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"loss of balance","1","['sign or symptom']"
"pap smear","1","['diagnostic procedure']"
"intestines small","1","['body part, organ, or organ component', 'disease or syndrome']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"vitamin b12 deficiency anemia","1","['disease or syndrome']"
"phosphoric monoester hydrolases","1","['enzyme']"
"observation of attack","1","['finding']"
"amenorrhea","1","['disease or syndrome']"
"gingiva","1","['body part, organ, or organ component', 'pharmacologic substance']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"myasthenias","1","['disease or syndrome']"
"chicken allergenic extract","1","['pharmacologic substance']"
"vitiligo","1","['disease or syndrome']"
"vitality","1","['finding']"
"hand","1","['body part, organ, or organ component']"
"finding of vitamin b12 level","1","['laboratory or test result']"
"gastritis atrophic","1","['disease or syndrome']"
"false positive","1","['finding', 'laboratory or test result']"
"marrow","1","['body part, organ, or organ component']"
"tongue","1","['body location or region', 'body part, organ, or organ component']"
"anorexia","1","['disease or syndrome', 'finding']"
"immune system finding","1","['finding']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"numbness","1","['finding', 'sign or symptom']"
"hypopituitarism","1","['disease or syndrome']"
"ability to balance","1","['finding']"
"methylmalonic acid","1","['organic chemical']"
"stomach carcinoma","1","['neoplastic process']"
"gastric carcinoid tumor","1","['neoplastic process']"
"nose","1","['body part, organ, or organ component', 'disease or syndrome']"
"reticulocyte count result","1","['laboratory or test result']"
"myasthenia gravis","1","['disease or syndrome']"
"injection of therapeutic agent","1","['therapeutic or preventive procedure']"
"cholesterol","1","['biologically active substance']"
"chronic disease","1","['disease or syndrome']"
