"articulation disorder"
"developmental articulation disorder"
"sound distortion"
"speech distortion"
"problems with speech","2","['finding']"
"cerebral palsy","2","['congenital abnormality', 'disease or syndrome', 'therapeutic or preventive procedure']"
"set of muscles","2","['body part, organ, or organ component']"
"paralysed","2","['finding']"
"cleft palate","2","['congenital abnormality', 'disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"tissue damage","1","['injury or poisoning']"
"hearing examination finding","1","['finding']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"normal speech","1","['finding']"
"hearing disability","1","['disease or syndrome']"
"speech and language","1","['finding']"
"vocal articulation","1","['organ or tissue function']"
"language problems","1","['mental or behavioral dysfunction']"
"poverty","1","['group attribute']"
"physical findings","1","['finding']"
"tooth structure","1","['body part, organ, or organ component']"
"preschool completion","1","['finding']"
"lip structure","1","['body part, organ, or organ component', 'disease or syndrome']"
"banana extract","1","['organic chemical', 'pharmacologic substance']"
"mental retardation","1","['mental or behavioral dysfunction']"
"tongue","1","['body location or region', 'body part, organ, or organ component']"
"rabbit allergenic extract","1","['pharmacologic substance']"
"social interaction","1","['finding']"
