"pituitary apoplexy"
"pituitary gland infarction","8","['disease or syndrome']"
"tissue growth","4","['organ or tissue function']"
"growth hormone","4","['pharmacologic substance']"
"hypothyroidism","3","['disease or syndrome']"
"adrenal gland hypofunction","3","['disease or syndrome', 'finding']"
"physical findings","3","['finding']"
"eye","3","['body part, organ, or organ component', 'body substance']"
"fatigue","3","['sign or symptom']"
"addisonian crisis","2","['disease or syndrome']"
"hemorrhage","2","['pathologic function', 'therapeutic or preventive procedure']"
"prolactin","2","['pharmacologic substance']"
"somatotropin deficiency","2","['disease or syndrome']"
"mass of body structure","2","['finding']"
"muscle mass","2","['finding']"
"hypopituitarism","2","['disease or syndrome']"
"hypogonadism","2","['disease or syndrome']"
"hormone deficiency","2","['disease or syndrome']"
"hoarseness","1","['sign or symptom']"
"constipation","1","['finding', 'sign or symptom']"
"weak eyes","1","['sign or symptom']"
"gonadal steroid hormones","1","['pharmacologic substance']"
"insulin-like growth factor i","1","['biologically active substance']"
"hypothalamic structure","1","['body part, organ, or organ component']"
"muscle of orbit","1","['body part, organ, or organ component']"
"hair","1","['body part, organ, or organ component']"
"reflex action","1","['finding', 'organ or tissue function']"
"diabetes","1","['disease or syndrome']"
"physical stress","1","['pathologic function']"
"follicle stimulating hormone","1","['pharmacologic substance']"
"sexual intercourse - finding","1","['finding']"
"bleeding tendency","1","['disease or syndrome', 'pathologic function']"
"short period","1","['finding']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"blind vision","1","['disease or syndrome']"
"thyrotropin","1","['pharmacologic substance']"
"set of muscles","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"luteinizing hormone","1","['pharmacologic substance']"
"lightheadedness","1","['sign or symptom']"
"weakness","1","['sign or symptom']"
"abdomen","1","['body location or region']"
"headache severe","1","['sign or symptom']"
"pituitary gland posterior","1","['body part, organ, or organ component', 'pharmacologic substance']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
"pituitary neoplasms","1","['neoplastic process']"
"testosterone","1","['pharmacologic substance']"
"cold intolerance","1","['finding', 'sign or symptom']"
"vitality","1","['finding']"
"depressed mood","1","['finding', 'mental or behavioral dysfunction']"
"weight gain","1","['finding', 'sign or symptom']"
"corticotropin","1","['pharmacologic substance']"
"hydrocortisone","1","['pharmacologic substance']"
"adverse event associated with death","1","['finding']"
"diplopia","1","['disease or syndrome']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"paralysed","1","['finding']"
"absent adverse event","1","['finding']"
"ophthalmoplegia","1","['sign or symptom']"
"recombinant insulin-like growth factor","1","['pharmacologic substance']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"milk human","1","['body substance']"
"nausea and vomiting","1","['sign or symptom']"
"dyslipidemias","1","['disease or syndrome']"
"scotoma","1","['finding']"
