"tumor - pituitary"
"neoplasms","15","['finding', 'neoplastic process']"
"pituitary neoplasms","6","['neoplastic process']"
"tissue growth","4","['organ or tissue function']"
"prolactin","3","['pharmacologic substance']"
"thyrotropin","3","['pharmacologic substance']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"follicle stimulating hormone","2","['pharmacologic substance']"
"pituitary gland","2","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"diplopia","2","['disease or syndrome']"
"luteinizing hormone","2","['pharmacologic substance']"
"growth hormone","2","['pharmacologic substance']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"corticotropin","2","['pharmacologic substance']"
"blind vision","2","['disease or syndrome']"
"endocrine glands","2","['body part, organ, or organ component']"
"hydrocortisone","2","['pharmacologic substance']"
"optic nerve","2","['body part, organ, or organ component', 'disease or syndrome']"
"nose","2","['body part, organ, or organ component', 'disease or syndrome']"
"excision","1","['therapeutic or preventive procedure']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"loss of peripheral vision","1","['finding']"
"adrenal glands","1","['body part, organ, or organ component']"
"insulin-like growth factor i","1","['biologically active substance']"
"body fluid discharge","1","['body substance', 'therapeutic or preventive procedure']"
"cabergoline","1","['organic chemical', 'pharmacologic substance']"
"tests and testing","1","['diagnostic procedure']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"lethargy","1","['sign or symptom']"
"serum","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"abnormal growth","1","['finding']"
"follicle stimulating hormone level result","1","['laboratory or test result']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"octreotide","1","['pharmacologic substance']"
"cortisol level","1","['laboratory or test result']"
"endocrine gland neoplasms","1","['neoplastic process']"
"dexamethasone","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"headache","1","['sign or symptom']"
"gigantism","1","['disease or syndrome']"
"thyroxine","1","['body part, organ, or organ component', 'finding', 'organic chemical', 'pharmacologic substance']"
"estradiol","1","['pharmacologic substance']"
"esthesia","1","['finding', 'organ or tissue function']"
"has drooping eyelids","1","['finding']"
"testosterone","1","['pharmacologic substance']"
"breast","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"hormone abnormality","1","['disease or syndrome', 'finding']"
"neoplasm metastasis","1","['neoplastic process']"
"eyelid structure","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"base of the brain","1","['body part, organ, or organ component']"
"hyperthyroidism","1","['disease or syndrome']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"craniopharyngioma","1","['neoplastic process']"
"hypopituitarism","1","['disease or syndrome']"
"ability to balance","1","['finding']"
"nasal drainage","1","['sign or symptom']"
"finding of hormone level","1","['laboratory or test result']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"nipple discharge","1","['sign or symptom']"
"cyst","1","['body substance', 'disease or syndrome']"
"nausea and vomiting","1","['sign or symptom']"
"visual field study","1","['diagnostic procedure']"
