"foot","13","['body part, organ, or organ component']"
"sole of foot","10","['body location or region']"
"heel","10","['body location or region', 'inorganic chemical', 'pharmacologic substance']"
"fasciitis plantar","8","['disease or syndrome']"
"arch of foot","5","['body location or region']"
"structure of achilles tendon","4","['body part, organ, or organ component']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"acquired flat foot","2","['acquired abnormality', 'congenital abnormality']"
"posterior crural muscle structure","2","['body part, organ, or organ component']"
"inflammation","2","['pathologic function']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"heel spur","2","['disease or syndrome']"
"set of muscles","2","['body part, organ, or organ component']"
"night splinting","2","['therapeutic or preventive procedure']"
"structure of calf of leg","2","['body location or region']"
"multiple endocrine neoplasia","2","['antibiotic', 'neoplastic process', 'organic chemical']"
"stiffness","2","['sign or symptom']"
"bathing","1","['finding', 'therapeutic or preventive procedure']"
"injection procedure","1","['therapeutic or preventive procedure']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"physical findings","1","['finding']"
"does talk","1","['finding']"
"tendon structure","1","['body part, organ, or organ component']"
"tylenol","1","['organic chemical', 'pharmacologic substance']"
"tight achilles tendon","1","['finding']"
"redness","1","['finding']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"sore to touch","1","['sign or symptom']"
"ice","1","['enzyme', 'hazardous or poisonous substance', 'inorganic chemical', 'organic chemical', 'therapeutic or preventive procedure']"
"stretching exercises","1","['therapeutic or preventive procedure']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"pedal edema","1","['sign or symptom']"
"toes","1","['body part, organ, or organ component']"
"motrin","1","['organic chemical', 'pharmacologic substance']"
"childhood immunization","1","['therapeutic or preventive procedure']"
"bone structure of calcaneum","1","['body part, organ, or organ component']"
"carcinoma of unknown primary","1","['neoplastic process']"
"weight gain","1","['finding', 'sign or symptom']"
"plantar fascia structure","1","['body part, organ, or organ component']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"advil","1","['organic chemical', 'pharmacologic substance']"
"obesity","1","['disease or syndrome', 'finding']"
