"mediastinal emphysema"
"lung","6","['body part, organ, or organ component', 'disease or syndrome']"
"trachea","4","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"acute insulin response","4","['finding']"
"mediastinal emphysema","4","['pathologic function']"
"mediastinum","4","['body location or region', 'neoplastic process']"
"heart","3","['body part, organ, or organ component', 'pharmacologic substance']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"pneumothorax","2","['disease or syndrome', 'finding']"
"neck","2","['body location or region']"
"hole finding","2","['finding']"
"upper arm","2","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"airway structure","2","['body part, organ, or organ component']"
"body site - chest tube","1","['body location or region']"
"pneumopericardium","1","['disease or syndrome']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"esophagus","1","['body part, organ, or organ component', 'disease or syndrome']"
"dyspnea","1","['sign or symptom']"
"crack cocaine","1","['hazardous or poisonous substance', 'organic chemical']"
"chest x-ray","1","['diagnostic procedure']"
"recreational drugs","1","['hazardous or poisonous substance']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"respiratory air","1","['body substance']"
"coughing","1","['finding', 'sign or symptom']"
"atelectasis","1","['finding', 'pathologic function']"
"vomiting","1","['body substance', 'finding', 'sign or symptom']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"intestines","1","['body part, organ, or organ component']"
"bony process","1","['body part, organ, or organ component']"
"sternum","1","['body part, organ, or organ component']"
"oxygen","1","['pharmacologic substance']"
