"air leak syndrome"
"acute insulin response","13","['finding']"
"pneumothorax","13","['disease or syndrome', 'finding']"
"lung","9","['body part, organ, or organ component', 'disease or syndrome']"
"air sacs","3","['body part, organ, or organ component']"
"spastic ataxia charlevoix-saguenay type","3","['disease or syndrome']"
"respiratory air","2","['body substance']"
"coloring excipient","2","['pharmacologic substance']"
"respiratory sounds","2","['clinical attribute']"
"physical findings","2","['finding']"
"hearing examination finding","1","['finding']"
"meconium aspiration syndrome","1","['disease or syndrome', 'pathologic function']"
"hearing loss partial","1","['disease or syndrome', 'finding']"
"heart rate","1","['clinical attribute']"
"respiratory distress","1","['sign or symptom']"
"agitation","1","['finding', 'sign or symptom']"
"chest x-ray","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"respiratory abnormality unspecified","1","['sign or symptom']"
"atelectasis","1","['finding', 'pathologic function']"
"chemical probe","1","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"set of muscles","1","['body part, organ, or organ component']"
"flatulence","1","['finding', 'sign or symptom']"
"chemical surfactants","1","['biologically active substance', 'chemical viewed functionally', 'pharmacologic substance']"
"cyanosis","1","['sign or symptom']"
"plain x-ray","1","['diagnostic procedure']"
"intestines","1","['body part, organ, or organ component']"
"fasting","1","['finding']"
"oxygen","1","['pharmacologic substance']"
"level","1","['pharmacologic substance']"
"tension pneumothorax","1","['disease or syndrome']"
"intercostal retractions","1","['finding']"
"abdominal muscles","1","['body part, organ, or organ component']"
"chest wall structure","1","['body part, organ, or organ component']"
"transillumination","1","['diagnostic procedure']"
"irritable mood","1","['finding']"
