"abdominal tenderness"
"sore to touch","7","['sign or symptom']"
"appendicitis","2","['disease or syndrome']"
"abdomen","2","['body location or region']"
"malaise","2","['finding', 'sign or symptom']"
"peritonitis","2","['disease or syndrome']"
"peritoneum","1","['body part, organ, or organ component']"
"constipation","1","['finding', 'sign or symptom']"
"ask question","1","['finding']"
"emergency appendectomy","1","['therapeutic or preventive procedure']"
"exploratory laparotomy","1","['diagnostic procedure']"
"diarrhea","1","['finding', 'sign or symptom']"
"ovarian","1","['body part, organ, or organ component']"
"radiography abdominal","1","['diagnostic procedure']"
"diverticulum","1","['pathologic function']"
"set of muscles","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"abdominal tenderness unspecified site","1","['sign or symptom']"
"fever","1","['finding']"
"fallopian tubes","1","['body part, organ, or organ component', 'disease or syndrome']"
"abdominal cavity","1","['body location or region']"
"plain x-ray","1","['diagnostic procedure']"
"abdominal muscles","1","['body part, organ, or organ component']"
"dental caries","1","['disease or syndrome']"
"rebound tenderness","1","['sign or symptom']"
"abdominal abscess","1","['disease or syndrome']"
