"periarteritis nodosa"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"arteries","4","['body part, organ, or organ component']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"polyarteritis nodosa","4","['disease or syndrome']"
"tissue damage","3","['injury or poisoning']"
"kidney","3","['body part, organ, or organ component']"
"myalgia","2","['finding', 'sign or symptom']"
"neurological observations","2","['finding']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"weakness","2","['sign or symptom']"
"ache","2","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"cerebrovascular accident","2","['disease or syndrome', 'therapeutic or preventive procedure']"
"immune system finding","2","['finding']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"hepatitis active","1","['finding']"
"arteriogram","1","['diagnostic procedure']"
"seizures","1","['finding', 'sign or symptom']"
"body weight decreased","1","['finding']"
"intestinal necrosis","1","['pathologic function']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"observation of attack","1","['finding']"
"fever","1","['finding']"
"prednisone","1","['pharmacologic substance']"
"plasmapheresis","1","['therapeutic or preventive procedure']"
"other drugs","1","['pharmacologic substance']"
"fatigue","1","['sign or symptom']"
"extended rotated sidebent","1","['clinical attribute', 'disease or syndrome', 'finding']"
"physical findings","1","['finding']"
"tract","1","['body part, organ, or organ component']"
"oxygen","1","['pharmacologic substance']"
"numbness","1","['finding', 'sign or symptom']"
"proteins","1","['biologically active substance']"
"pain burning","1","['sign or symptom']"
"erythrocyte sedimentation rate result","1","['clinical attribute', 'finding']"
"myocardial infarction","1","['disease or syndrome', 'finding']"
"cardiovascular complications","1","['pathologic function']"
"decrease in appetite","1","['sign or symptom']"
