"body fluids","10","['biologically active substance', 'body substance', 'pharmacologic substance']"
"amniotic fluid","8","['body substance']"
"polyhydramnios","7","['pathologic function']"
"esophageal atresia","2","['congenital abnormality', 'disease or syndrome']"
"bone growth","1","['organ or tissue function']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"does move","1","['finding']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"gastrointestinal diseases","1","['disease or syndrome']"
"edema","1","['disease or syndrome', 'finding', 'pathologic function']"
"multiple pregnancy","1","['pathologic function']"
"achondroplasia","1","['congenital abnormality', 'disease or syndrome', 'sign or symptom']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"amniocentesis","1","['diagnostic procedure']"
"tissue growth","1","['organ or tissue function']"
"myotonic dystrophy","1","['disease or syndrome', 'pharmacologic substance']"
"ultrasonography","1","['diagnostic procedure']"
"neurological observations","1","['finding']"
"perform","1","['pharmacologic substance']"
"mild adverse event","1","['finding']"
"uterus size","1","['finding']"
"esophageal diseases","1","['disease or syndrome']"
"blow -accident","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"diabetes","1","['disease or syndrome']"
"production processing id","1","['finding']"
"lung diseases","1","['disease or syndrome']"
"gastroschisis","1","['congenital abnormality', 'disease or syndrome']"
"hydrops fetalis","1","['disease or syndrome']"
"duodenal atresia","1","['congenital abnormality']"
