"port-wine stain","10","['congenital abnormality']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"birthmarks","3","['congenital abnormality']"
"coloring excipient","2","['pharmacologic substance']"
"face","2","['body location or region', 'disease or syndrome']"
"glaucoma","1","['disease or syndrome', 'finding']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"intraocular pressure test","1","['diagnostic procedure', 'disease or syndrome', 'organ or tissue function']"
"abnormal color","1","['finding']"
"anatomic site","1","['body location or region']"
"leg","1","['body location or region']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"social problems","1","['finding']"
"physical findings","1","['finding']"
"eyelid structure","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"disfigurement","1","['finding']"
