"splenectomy - post-surgery syndrome"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"blood clot","2","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"thrombocytosis","2","['disease or syndrome']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"splenectomy","1","['therapeutic or preventive procedure']"
"red blood cells blood product","1","['pharmacologic substance']"
"spleen","1","['body part, organ, or organ component']"
"finding of platelet count","1","['laboratory or test result']"
"pneumonia","1","['disease or syndrome']"
"hardening of the arteries","1","['finding']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"signs and symptoms","1","['sign or symptom']"
"physical findings","1","['finding']"
"pulmonary hypertension","1","['disease or syndrome', 'finding']"
