"pubertas praecox"
"encounter due to puberty","10","['finding']"
"precocious puberty","5","['disease or syndrome']"
"neoplasms","3","['finding', 'neoplastic process']"
"tissue growth","3","['organ or tissue function']"
"brain","3","['body part, organ, or organ component', 'disease or syndrome']"
"testis","2","['body part, organ, or organ component', 'disease or syndrome']"
"social problems","2","['finding']"
"entire hair of pubis","2","['body part, organ, or organ component']"
"axilla","2","['body location or region']"
"abdomen","2","['body location or region']"
"physical findings","2","['finding']"
"congenital adrenal hyperplasia","1","['congenital abnormality', 'disease or syndrome']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"adrenal glands","1","['body part, organ, or organ component']"
"gland","1","['body part, organ, or organ component']"
"hypothalamic hamartomas","1","['disease or syndrome']"
"blood hormone levels","1","['laboratory or test result']"
"structure of hair of face","1","['body part, organ, or organ component']"
"hamartoma","1","['neoplastic process']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"lymphoid interstitial pneumonia","1","['body part, organ, or organ component', 'disease or syndrome']"
"upper lip structure","1","['body part, organ, or organ component']"
"breast","1","['body part, organ, or organ component']"
"penis","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"hair growth","1","['organ or tissue function']"
"finding of hormone level","1","['laboratory or test result']"
"genitalia","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
