"eye","9","['body part, organ, or organ component', 'body substance']"
"lens diseases","5","['body part, organ, or organ component', 'disease or syndrome']"
"presbyopia","4","['disease or syndrome']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"asthenopia","1","['disease or syndrome']"
"deterioration of status","1","['finding']"
"bony process","1","['body part, organ, or organ component']"
"personal integrity","1","['individual behavior']"
"proven venom","1","['biologically active substance', 'pharmacologic substance']"
"visual acuity","1","['clinical attribute']"
"retina","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"muscle strain","1","['injury or poisoning']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"refraction assessment","1","['diagnostic procedure', 'finding']"
"vision tests","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"operative surgical procedures","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"headache","1","['sign or symptom']"
