"plaque psoriasis"
"psoriasis","25","['disease or syndrome']"
"pharmaceutical preparations","7","['pharmacologic substance']"
"phototherapy","6","['therapeutic or preventive procedure']"
"therapeutic procedure","6","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"nail plate","5","['body part, organ, or organ component', 'body substance']"
"bathing","4","['finding', 'therapeutic or preventive procedure']"
"precipitating factors","4","['clinical attribute']"
"observation of attack","4","['finding']"
"integumentary scale","4","['body part, organ, or organ component']"
"redness","3","['finding']"
"colloidal oatmeal","3","['organic chemical', 'pharmacologic substance']"
"erythema","3","['sign or symptom']"
"immune system finding","3","['finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"scurfiness of scalp","2","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"retinoids","2","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"biological agents","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"scalp structure","2","['body part, organ, or organ component']"
"skin clean","2","['finding']"
"vitamins","2","['organic chemical', 'pharmacologic substance']"
"coloring excipient","2","['pharmacologic substance']"
"stress","2","['finding', 'organic chemical', 'pharmacologic substance']"
"arthritis psoriatic","2","['disease or syndrome']"
"autoimmune diseases","1","['disease or syndrome']"
"injection procedure","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"amevive","1","['pharmacologic substance']"
"stelara","1","['pharmacologic substance']"
"anthralin","1","['organic chemical', 'pharmacologic substance']"
"upper respiratory infections","1","['disease or syndrome']"
"streptococcal infections","1","['disease or syndrome']"
"salicylic acid","1","['organic chemical', 'pharmacologic substance']"
"treatment options","1","['therapeutic or preventive procedure']"
"skin irritation","1","['sign or symptom']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"elbow","1","['body location or region', 'congenital abnormality']"
"carcinoma of unknown primary","1","['neoplastic process']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"axilla","1","['body location or region']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"insect bites","1","['injury or poisoning']"
"salmon allergenic extract","1","['pharmacologic substance']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"acute insulin response","1","['finding']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"lithium","1","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"infliximab","1","['body part, organ, or organ component', 'organic chemical', 'pharmacologic substance']"
"cortisone","1","['pharmacologic substance']"
"silver preparation","1","['pharmacologic substance']"
"alefacept","1","['clinical drug', 'pharmacologic substance']"
"burn injury","1","['finding', 'injury or poisoning']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"etanercept","1","['pharmacologic substance']"
"lactic acid","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"humira","1","['pharmacologic substance']"
"adrenergic beta-antagonists","1","['pharmacologic substance']"
"peeling of skin","1","['finding', 'pathologic function']"
"chemotherapy regimen","1","['therapeutic or preventive procedure']"
"antibiotics","1","['antibiotic']"
"tars","1","['disease or syndrome', 'organic chemical']"
"coal tar","1","['organic chemical', 'pharmacologic substance']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"erythrodermic psoriasis","1","['disease or syndrome']"
"bulla","1","['pathologic function']"
"acitretin","1","['organic chemical', 'pharmacologic substance']"
"bony process","1","['body part, organ, or organ component']"
"streptococcal sore throat","1","['disease or syndrome']"
"respiratory tract infections","1","['disease or syndrome']"
"dental plaque","1","['acquired abnormality', 'disease or syndrome']"
"cyclosporine","1","['disease or syndrome', 'pharmacologic substance']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"adalimumab","1","['pharmacologic substance']"
"virus diseases","1","['disease or syndrome']"
"bite injury","1","['injury or poisoning', 'organ or tissue function']"
"male gender","1","['finding']"
"incised wound","1","['injury or poisoning']"
"remicade","1","['pharmacologic substance']"
"enbrel","1","['pharmacologic substance']"
