"pterygium","11","['disease or syndrome']"
"eye","8","['body part, organ, or organ component', 'body substance']"
"cornea","5","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"tissue growth","3","['organ or tissue function']"
"inflammation","2","['pathologic function']"
"sclera","2","['body part, organ, or organ component', 'disease or syndrome']"
"exposure to sunlight","1","['injury or poisoning']"
"histone acetyltransferase","1","['biologically active substance', 'enzyme']"
"tears - specimentype","1","['body substance']"
"mild adverse event","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"conjunctiva","1","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"eyelid structure","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"tears artificial","1","['pharmacologic substance']"
