"tb"
"tuberculosis - pulmonary"
"tributyrin","32","['disease or syndrome', 'pharmacologic substance']"
"pharmaceutical preparations","13","['pharmacologic substance']"
"tuberculosis pulmonary","6","['disease or syndrome']"
"lung","5","['body part, organ, or organ component', 'disease or syndrome']"
"hypersensitivity skin testing","3","['diagnostic procedure', 'finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"chest x-ray","2","['diagnostic procedure']"
"chest ct","2","['diagnostic procedure']"
"aminosalicylic acid","2","['organic chemical', 'pharmacologic substance']"
"plain x-ray","2","['diagnostic procedure']"
"physical findings","1","['finding']"
"parity","1","['finding']"
"tears - specimentype","1","['body substance']"
"swelling","1","['finding', 'pathologic function']"
"positive skin test","1","['laboratory or test result']"
"respiratory air","1","['body substance']"
"muscle strain","1","['injury or poisoning']"
"moxifloxacin","1","['antibiotic', 'organic chemical']"
"prompt","1","['pharmacologic substance']"
"pleural effusion fluid","1","['body substance', 'disease or syndrome']"
"hiv infections","1","['disease or syndrome', 'virus']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"tissue damage","1","['injury or poisoning']"
"body weight decreased","1","['finding']"
"bronchoscopy","1","['diagnostic procedure']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"respiratory sounds","1","['clinical attribute']"
"lymph nodes","1","['body part, organ, or organ component']"
"test result","1","['finding']"
"sneezing","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"thoracentesis","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"acute insulin response","1","['finding']"
"increased sweating","1","['sign or symptom']"
"aids chemotherapy","1","['therapeutic or preventive procedure']"
"vaccines","1","['pharmacologic substance']"
"bcg vaccine","1","['pharmacologic substance']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"fever","1","['finding']"
"pulmonary complications","1","['pathologic function']"
"other drugs","1","['pharmacologic substance']"
"coughing","1","['finding', 'sign or symptom']"
"rales","1","['finding', 'sign or symptom']"
"pyrazinamide","1","['organic chemical', 'pharmacologic substance']"
"interferon type ii","1","['pharmacologic substance']"
"tuberculin test","1","['diagnostic procedure']"
"rifampin","1","['antibiotic', 'organic chemical']"
"fatigue","1","['sign or symptom']"
"date allergenic extract","1","['pharmacologic substance']"
"vision tests","1","['diagnostic procedure']"
"ethambutol","1","['organic chemical', 'pharmacologic substance']"
"diabetes","1","['disease or syndrome']"
"liver problem","1","['finding']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"immune system finding","1","['finding']"
"neck","1","['body location or region']"
"sputum","1","['body substance']"
"progressive pseudorheumatoid dysplasia","1","['congenital abnormality']"
"does talk","1","['finding']"
"amikacin","1","['antibiotic']"
"ethionamide","1","['organic chemical', 'pharmacologic substance']"
"orange allergenic extract","1","['pharmacologic substance']"
"malnutrition","1","['disease or syndrome']"
"streptomycin","1","['antibiotic']"
"clubbed fingers","1","['acquired abnormality']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
