"phosphotransferases","9","['enzyme']"
"pyruvate kinase","9","['enzyme']"
"pyruvate kinase deficiency","5","['disease or syndrome']"
"red blood cells blood product","5","['pharmacologic substance']"
"blood transfusion","3","['therapeutic or preventive procedure']"
"icterus","3","['finding', 'pathologic function']"
"splenectomy","3","['therapeutic or preventive procedure']"
"anemia hemolytic","3","['disease or syndrome']"
"bilirubin","2","['biologically active substance', 'laboratory or test result', 'organic chemical']"
"spleen","2","['body part, organ, or organ component']"
"enzymes","2","['enzyme', 'organic chemical']"
"lethargy","1","['sign or symptom']"
"rbc decreased","1","['finding']"
"urobilinogen","1","['biologically active substance', 'organic chemical']"
"cholelithiasis","1","['body substance', 'disease or syndrome']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"vaccines","1","['pharmacologic substance']"
"r.b.c","1","['organic chemical', 'pharmacologic substance']"
"finding","1","['finding', 'sign or symptom']"
"anemia severe","1","['disease or syndrome']"
"exchange transfusion whole blood","1","['therapeutic or preventive procedure']"
"antibiotics","1","['antibiotic']"
"physical findings","1","['finding']"
"pallor of skin","1","['finding', 'sign or symptom']"
"haptoglobins","1","['biologically active substance', 'finding']"
"splenomegaly","1","['finding']"
"feces","1","['body substance']"
"pneumococcal vaccine","1","['pharmacologic substance']"
