"baby rash"
"miliaria"
"prickly heat"
"lithium","265","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","68","['biologically active substance', 'pharmacologic substance']"
"rhythm","55","['finding']"
"exanthema","51","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"uterine fibroids","45","['neoplastic process']"
"medical history","32","['finding']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"histone h3","18","['biologically active substance']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"hepatic","13","['body location or region']"
"diaper rash","9","['disease or syndrome', 'pharmacologic substance']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"target lesion identification","7","['diagnostic procedure']"
"eczema","7","['disease or syndrome']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"pharmaceutical preparations","6","['pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"acne","5","['disease or syndrome']"
"foot","5","['body part, organ, or organ component']"
"welts","5","['disease or syndrome', 'sign or symptom']"
"coloring excipient","5","['pharmacologic substance']"
"candida albicans extract","5","['pharmacologic substance']"
"thrombasthenia","4","['disease or syndrome']"
"cataract anterior polar","4","['acquired abnormality', 'disease or syndrome', 'therapeutic or preventive procedure']"
"alanine transaminase","4","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"bulla","4","['pathologic function']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"cradle cap","4","['disease or syndrome']"
"bathing","3","['finding', 'therapeutic or preventive procedure']"
"dry skin","3","['finding', 'pharmacologic substance', 'sign or symptom']"
"date allergenic extract","3","['pharmacologic substance']"
"miliaria rubra","3","['disease or syndrome']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"muscular dystrophy","2","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"diaper area","2","['body location or region']"
"observation result","2","['finding']"
"toxic erythema","2","['disease or syndrome']"
"may-hegglin anomaly","2","['finding', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"bony process","2","['body part, organ, or organ component']"
"water","2","['inorganic chemical', 'pharmacologic substance']"
"antihistamines","2","['organic chemical', 'pharmacologic substance']"
"anatomic site","2","['body location or region']"
"prealbumin","2","['biologically active substance']"
"urticaria","2","['disease or syndrome', 'sign or symptom']"
"peeling of skin","2","['finding', 'pathologic function']"
"pruritus","2","['sign or symptom']"
"mild adverse event","2","['finding']"
"formycin triphosphate","2","['pharmacologic substance']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"thymidine","2","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"does skip","2","['biologically active substance', 'finding']"
"fever","2","['finding']"
"educational status","2","['finding', 'individual behavior']"
"immunoconjugates","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"core specimen","2","['body substance']"
"stat protein","1","['biologically active substance', 'finding']"
"gtpase-activating proteins","1","['biologically active substance']"
"general anesthesia","1","['enzyme', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"milium cyst","1","['disease or syndrome']"
"compact pattern","1","['finding']"
"cortisone","1","['pharmacologic substance']"
"esthesia","1","['finding', 'organ or tissue function']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"expression procedure","1","['therapeutic or preventive procedure']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"detergents","1","['chemical viewed functionally']"
"physical findings","1","['finding']"
"fibronectins","1","['biologically active substance']"
"anterior segmental vein","1","['body part, organ, or organ component']"
"electroconvulsive therapy","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"ask question","1","['finding']"
"seborrheic dermatitis","1","['disease or syndrome', 'pathologic function']"
"lead","1","['biologically active substance', 'hazardous or poisonous substance', 'inorganic chemical', 'pharmacologic substance']"
"abnormal color","1","['finding']"
"cotton allergenic extract","1","['pharmacologic substance']"
"paroxysmal atrial fibrillation","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"inflammation","1","['pathologic function']"
"dermatologic disorders","1","['disease or syndrome']"
"research outcome","1","['finding']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"asthma","1","['disease or syndrome']"
