"erythema"
"rubor"
"skin lesion"
"skin rash"
"skin redness or inflammation"
"exanthema","15","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"herpes zoster disease","3","['disease or syndrome', 'virus']"
"hypersensitivity","3","['clinical attribute', 'finding', 'pathologic function']"
"optic atrophy autosomal dominant","2","['disease or syndrome']"
"allergy testing","2","['diagnostic procedure', 'finding']"
"dermatitis atopic","2","['disease or syndrome']"
"poisons","2","['hazardous or poisonous substance']"
"scalp structure","2","['body part, organ, or organ component']"
"eczema","2","['disease or syndrome']"
"redness","2","['finding']"
"asthma","2","['disease or syndrome']"
"insect bites","2","['injury or poisoning']"
"chickenpox","2","['disease or syndrome', 'pharmacologic substance', 'virus']"
"psoriasis","2","['disease or syndrome']"
"contact dermatitis","2","['disease or syndrome']"
"detergents","2","['chemical viewed functionally']"
"pharyngeal structure","2","['body location or region', 'body part, organ, or organ component', 'body substance']"
"bite injury","2","['injury or poisoning', 'organ or tissue function']"
"bathing","1","['finding', 'therapeutic or preventive procedure']"
"deterioration of status","1","['finding']"
"hydrocortisone creams","1","['clinical drug']"
"scurfiness of scalp","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"anatomical layer","1","['body part, organ, or organ component']"
"respiratory air","1","['body substance']"
"rubella","1","['disease or syndrome', 'pharmacologic substance']"
"gentle","1","['organic chemical', 'pharmacologic substance']"
"dermatologic disorders","1","['disease or syndrome']"
"atopy","1","['pathologic function']"
"colloidal oatmeal","1","['organic chemical', 'pharmacologic substance']"
"sore throat","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'sign or symptom']"
"pruritus","1","['sign or symptom']"
"contusions","1","['injury or poisoning']"
"cleanser","1","['pharmacologic substance']"
"coloring excipient","1","['pharmacologic substance']"
"rubber","1","['organic chemical']"
"cataract anterior polar","1","['acquired abnormality', 'disease or syndrome', 'therapeutic or preventive procedure']"
"inflammation","1","['pathologic function']"
"trunk structure","1","['body location or region']"
"seborrheic dermatitis","1","['disease or syndrome', 'pathologic function']"
"lupus erythematosus","1","['disease or syndrome']"
"scarlet fever","1","['disease or syndrome']"
"ear structure","1","['body part, organ, or organ component', 'body substance']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"measles","1","['disease or syndrome', 'pharmacologic substance']"
"cradle cap","1","['disease or syndrome']"
"atopic dermatitis/eczema","1","['disease or syndrome']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"fatigue","1","['sign or symptom']"
"hot water","1","['inorganic chemical']"
"eyebrow structure","1","['body part, organ, or organ component']"
"eyelid structure","1","['body part, organ, or organ component']"
"sore to touch","1","['sign or symptom']"
"bulla","1","['pathologic function']"
"latex","1","['organic chemical']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"structure of nail of finger","1","['body part, organ, or organ component']"
"ask question","1","['finding']"
"sting injury","1","['injury or poisoning']"
"calamine","1","['organic chemical', 'pharmacologic substance']"
"affected area","1","['finding']"
"face","1","['body location or region', 'disease or syndrome']"
"specimen collection method - scrapings <scrapings","1","['diagnostic procedure']"
"nose","1","['body part, organ, or organ component', 'disease or syndrome']"
"acute insulin response","1","['finding']"
