"raynaud disease","9","['disease or syndrome']"
"blood vessel","8","['body part, organ, or organ component', 'finding']"
"fingers","8","['body location or region']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"arteries","3","['body part, organ, or organ component']"
"common cold","3","['disease or syndrome', 'finding']"
"spasm","2","['sign or symptom']"
"sore to touch","2","['sign or symptom']"
"coloring excipient","2","['pharmacologic substance']"
"exanthema","2","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"ear structure","2","['body part, organ, or organ component', 'body substance']"
"foot","2","['body part, organ, or organ component']"
"hand","2","['body part, organ, or organ component']"
"viagra","1","['organic chemical', 'pharmacologic substance']"
"swelling","1","['finding', 'pathologic function']"
"vascular ultrasound procedure","1","['diagnostic procedure']"
"observation of attack","1","['finding']"
"caffeine","1","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"examined","1","['finding']"
"nitroglycerin","1","['organic chemical', 'pharmacologic substance']"
"frostbite","1","['injury or poisoning']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"thoracic outlet","1","['body location or region']"
"ice","1","['enzyme', 'hazardous or poisonous substance', 'inorganic chemical', 'organic chemical', 'therapeutic or preventive procedure']"
"calcium channel blockers","1","['pharmacologic substance']"
"chest","1","['body location or region', 'disease or syndrome']"
"associated with smoking","1","['finding']"
"amphetamines","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"ultrasonography","1","['diagnostic procedure']"
"decreased blood flow","1","['pathologic function']"
"arteriopathic disease","1","['disease or syndrome']"
"body part","1","['body location or region', 'body part, organ, or organ component']"
"leg","1","['body location or region']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"atherosclerosis","1","['disease or syndrome']"
"adrenergic beta-antagonists","1","['pharmacologic substance']"
"physical findings","1","['finding']"
"lupus erythematosus systemic","1","['disease or syndrome']"
"angiotensin-converting enzyme inhibitors","1","['pharmacologic substance']"
"handling","1","['finding']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"arthralgia","1","['finding', 'sign or symptom']"
"scleroderma","1","['disease or syndrome']"
"fever","1","['finding']"
"stimulation procedure","1","['therapeutic or preventive procedure']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"skin ulcer","1","['disease or syndrome', 'finding']"
"nail plate","1","['body part, organ, or organ component', 'body substance']"
