"notifiable diseases"
"influenza","3","['disease or syndrome', 'pharmacologic substance']"
"malignant neoplasms","3","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"vancomycin","2","['antibiotic']"
"acquired immunodeficiency syndrome","2","['disease or syndrome']"
"salmonella infections","2","['disease or syndrome', 'injury or poisoning']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"source","2","['finding']"
"gonorrhea","2","['disease or syndrome']"
"measles","2","['disease or syndrome', 'pharmacologic substance']"
"sexually transmitted diseases","2","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"antimicrobial resistance result","2","['laboratory or test result']"
"pertussis","2","['disease or syndrome', 'pharmacologic substance']"
"encephalomyelitis equine","2","['disease or syndrome']"
"brucellosis","1","['disease or syndrome']"
"cryptosporidiosis","1","['disease or syndrome']"
"lyme disease","1","['disease or syndrome', 'pharmacologic substance']"
"encephalitis west nile fever","1","['disease or syndrome']"
"immunologic deficiency syndromes","1","['disease or syndrome']"
"encephalitis virus california","1","['virus']"
"hepatitis a","1","['disease or syndrome', 'pharmacologic substance']"
"listeriosis","1","['disease or syndrome']"
"rocky mountain spotted fever","1","['disease or syndrome', 'pharmacologic substance']"
"psittacosis","1","['disease or syndrome']"
"poliomyelitis","1","['disease or syndrome']"
"syphilis congenital","1","['disease or syndrome']"
"smallpox","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"encephalomyelitis western equine","1","['disease or syndrome']"
"yellow fever","1","['disease or syndrome', 'pharmacologic substance']"
"botulism","1","['injury or poisoning']"
"q fever","1","['disease or syndrome', 'pharmacologic substance']"
"human rabies","1","['disease or syndrome']"
"typhoid fever","1","['disease or syndrome']"
"anthrax disease","1","['disease or syndrome', 'pharmacologic substance']"
"coccidioidomycosis","1","['disease or syndrome']"
"immunization","1","['therapeutic or preventive procedure']"
"ehrlichiosis","1","['disease or syndrome']"
"trichinellosis","1","['disease or syndrome']"
"cyclosporiasis","1","['disease or syndrome']"
"cholera","1","['disease or syndrome', 'pharmacologic substance']"
"powassan encephalitis","1","['disease or syndrome']"
"chickenpox","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"mumps","1","['disease or syndrome', 'pharmacologic substance']"
"antimicrobial intermediate susceptibility result","1","['laboratory or test result']"
"rubella","1","['disease or syndrome', 'pharmacologic substance']"
"severe acute respiratory syndrome","1","['disease or syndrome', 'virus']"
"malaria","1","['disease or syndrome', 'pharmacologic substance', 'sign or symptom']"
"shigella infections","1","['disease or syndrome']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"tularemia","1","['disease or syndrome']"
"tuberculosis","1","['disease or syndrome', 'pharmacologic substance']"
"encephalomyelitis eastern equine","1","['disease or syndrome']"
"spotted fevers","1","['disease or syndrome']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"encephalitis virus western equine","1","['virus']"
"handling","1","['finding']"
"amebiasis","1","['disease or syndrome']"
"level","1","['pharmacologic substance']"
"food poisoning","1","['injury or poisoning']"
"echinococcosis","1","['disease or syndrome']"
"pneumonia","1","['disease or syndrome']"
"giardiasis","1","['disease or syndrome']"
"responsibility","1","['individual behavior']"
"leprosy","1","['disease or syndrome', 'pharmacologic substance']"
"virus diseases","1","['disease or syndrome']"
"diphtheria","1","['disease or syndrome']"
"hemolytic-uremic syndrome","1","['disease or syndrome']"
