"rp"
"retina","9","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"retinitis pigmentosa","7","['body part, organ, or organ component', 'disease or syndrome']"
"blind vision","6","['disease or syndrome']"
"eye","4","['body part, organ, or organ component', 'body substance']"
"omega-3 fatty acids","2","['biologically active substance', 'pharmacologic substance']"
"vitamins","2","['organic chemical', 'pharmacologic substance']"
"vision tests","2","['diagnostic procedure']"
"visual field study","2","['diagnostic procedure']"
"pupil","2","['body part, organ, or organ component']"
"night vision","2","['organ or tissue function']"
"tissue damage","1","['injury or poisoning']"
"retinyl palmitate","1","['organic chemical', 'pharmacologic substance']"
"swelling","1","['finding', 'pathologic function']"
"intraocular","1","['body location or region']"
"back","1","['body location or region']"
"blindness complete","1","['sign or symptom']"
"retinal photography","1","['diagnostic procedure']"
"scotoma central","1","['finding']"
"reflex action","1","['finding', 'organ or tissue function']"
"central vision","1","['organ or tissue function']"
"physical findings","1","['finding']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"coloring excipient","1","['pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"electroretinography","1","['biologically active substance', 'diagnostic procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"deafness","1","['disease or syndrome', 'finding']"
"angiogram","1","['diagnostic procedure']"
"family history of retinitis pigmentosa","1","['finding']"
"treated with","1","['therapeutic or preventive procedure']"
"slitting","1","['therapeutic or preventive procedure']"
"refraction assessment","1","['diagnostic procedure', 'finding']"
"mucopolysaccharidoses","1","['disease or syndrome']"
"anatomical layer","1","['body part, organ, or organ component']"
"doconexent","1","['pharmacologic substance']"
"acyl-coa thioester hydrolase long-chain 1","1","['enzyme', 'therapeutic or preventive procedure']"
"macular edema cystoid","1","['disease or syndrome']"
"brain electrical activity","1","['organ or tissue function']"
"liver problem","1","['finding']"
"ophthalmoscopy","1","['diagnostic procedure']"
"visual impairment","1","['disease or syndrome']"
"tunnel visual field constriction","1","['finding']"
"antioxidants","1","['pharmacologic substance']"
"visual acuity","1","['clinical attribute']"
"dystrophy","1","['pathologic function']"
"fluorescein angiography","1","['diagnostic procedure']"
"hearing examination finding","1","['finding']"
"tests and testing","1","['diagnostic procedure']"
