"idiopathic retroperitoneal fibrosis"
"ormond's disease"
"mass of body structure","4","['finding']"
"intravenous pyelogram","3","['diagnostic procedure']"
"retroperitoneal fibrosis","3","['pathologic function']"
"tissue damage","2","['injury or poisoning']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"leg","2","['body location or region']"
"urinary bladder","2","['body part, organ, or organ component']"
"pharmacologic substance","2","['pharmacologic substance', 'therapeutic or preventive procedure']"
"urine volume finding","2","['clinical attribute', 'finding']"
"migraine disorders","2","['disease or syndrome', 'therapeutic or preventive procedure']"
"retroperitoneal mass","1","['disease or syndrome']"
"unemployment","1","['finding']"
"tamoxifen","1","['neoplastic process', 'organic chemical', 'pharmacologic substance']"
"echography of kidney","1","['diagnostic procedure']"
"ureter","1","['body part, organ, or organ component', 'disease or syndrome']"
"creatinine","1","['biologically active substance', 'finding', 'organic chemical']"
"ultrasonography","1","['diagnostic procedure']"
"lower abdomen","1","['body location or region']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"coloring excipient","1","['pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"decreased blood flow","1","['pathologic function']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"headache","1","['sign or symptom']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"anuria","1","['disease or syndrome']"
"physical findings","1","['finding']"
"oliguria","1","['sign or symptom']"
"intestines","1","['body part, organ, or organ component']"
"nausea","1","['finding', 'sign or symptom']"
"immune system finding","1","['finding']"
"adverse event associated with death","1","['finding']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"blood urea nitrogen","1","['biologically active substance', 'inorganic chemical', 'organic chemical']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"methysergide","1","['organic chemical', 'pharmacologic substance']"
