"kidney","11","['body part, organ, or organ component']"
"myoglobin","7","['biologically active substance']"
"tissue damage","5","['injury or poisoning']"
"rhabdomyolysis","4","['pathologic function']"
"body fluids","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"set of muscles","4","['body part, organ, or organ component']"
"specimen type - skeletal muscle","2","['body substance']"
"serum calcium level","2","['laboratory or test result']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"seizures","2","['finding', 'sign or symptom']"
"kidney tubular necrosis acute","2","['disease or syndrome']"
"chills","2","['sign or symptom']"
"renal tubule necrosis","1","['disease or syndrome']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"isoenzymes","1","['enzyme']"
"phosphate ion","1","['inorganic chemical', 'pharmacologic substance']"
"blood calcium level result","1","['laboratory or test result']"
"phosphotransferases","1","['enzyme']"
"cola","1","['pharmacologic substance']"
"urine color dark","1","['finding']"
"alcoholic intoxication chronic","1","['mental or behavioral dysfunction']"
"sore to touch","1","['sign or symptom']"
"muscular stiffness","1","['sign or symptom']"
"muscle tenderness","1","['sign or symptom']"
"coloring excipient","1","['pharmacologic substance']"
"urine volume finding","1","['clinical attribute', 'finding']"
"hyperkalemia","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"urine production","1","['organ or tissue function']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"muscle stiffness or aching","1","['finding']"
"amphetamines","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"fiber","1","['organic chemical', 'pharmacologic substance']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"dietary potassium","1","['inorganic chemical']"
"asthenia","1","['sign or symptom']"
"serum creatinine level","1","['laboratory or test result']"
"phosphate low","1","['finding']"
"hemodialysis","1","['therapeutic or preventive procedure']"
"venous thrombosis","1","['finding', 'pathologic function']"
"heroin","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"crushing injury","1","['injury or poisoning']"
"serum potassium result","1","['laboratory or test result']"
"diuretics","1","['pharmacologic substance']"
"color of urine","1","['finding']"
"tremor muscle","1","['sign or symptom']"
"deep vein thrombosis","1","['disease or syndrome']"
"production processing id","1","['finding']"
"arterial occlusion","1","['pathologic function']"
"proteins","1","['biologically active substance']"
"myalgia","1","['finding', 'sign or symptom']"
"ischemia","1","['disease or syndrome']"
"urine discoloration","1","['finding']"
"choline kinase","1","['enzyme']"
"muscle weakness","1","['sign or symptom']"
"veins","1","['body part, organ, or organ component']"
"urine creatinine level finding","1","['laboratory or test result']"
"weight gain","1","['finding', 'sign or symptom']"
"creatine kinase","1","['enzyme']"
