"arthritis - rheumatoid"
"ra"
"pharmaceutical preparations","19","['pharmacologic substance']"
"rheumatoid arthritis","17","['disease or syndrome', 'pharmacologic substance']"
"inflammation","4","['pathologic function']"
"tissue damage","4","['injury or poisoning']"
"anti-inflammatory agents non-steroidal","3","['pharmacologic substance']"
"physical therapy exercises","3","['therapeutic or preventive procedure']"
"antirheumatic drugs disease-modifying","3","['pharmacologic substance']"
"recombinant interleukin-6","2","['pharmacologic substance']"
"does talk","2","['finding']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"omega-3 fatty acids","2","['biologically active substance', 'pharmacologic substance']"
"immune system finding","2","['finding']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"therapeutic procedure","2","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"adrenal cortex hormones","2","['pharmacologic substance']"
"knee","2","['body part, organ, or organ component']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"rituxan","1","['pharmacologic substance']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"range of motion","1","['clinical attribute', 'therapeutic or preventive procedure']"
"set of muscles","1","['body part, organ, or organ component']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"plaquenil","1","['organic chemical', 'pharmacologic substance']"
"celecoxib","1","['organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"lymphoma","1","['neoplastic process']"
"humira","1","['pharmacologic substance']"
"bony process","1","['body part, organ, or organ component']"
"proteins","1","['biologically active substance']"
"deep-heat","1","['organic chemical', 'pharmacologic substance']"
"erythrocyte sedimentation rate result","1","['clinical attribute', 'finding']"
"veins","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"morning stiffness","1","['finding']"
"does play","1","['finding']"
"pleurisy","1","['disease or syndrome']"
"golimumab","1","['pharmacologic substance']"
"rheumatrex","1","['pharmacologic substance']"
"methotrexate","1","['organic chemical', 'pharmacologic substance']"
"arava","1","['organic chemical', 'pharmacologic substance']"
"fingers","1","['body location or region']"
"leflunomide","1","['organic chemical', 'pharmacologic substance']"
"ulcer","1","['finding', 'pathologic function']"
"itch burning","1","['sign or symptom']"
"actemra","1","['pharmacologic substance']"
"etanercept","1","['pharmacologic substance']"
"adalimumab","1","['pharmacologic substance']"
"cyclooxygenase 2 inhibitors","1","['organic chemical', 'pharmacologic substance']"
"destruction joint","1","['finding']"
"joint swelling","1","['sign or symptom']"
"numbness","1","['finding', 'sign or symptom']"
"orencia","1","['pharmacologic substance']"
"joint function","1","['organ or tissue function']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"synovectomy","1","['therapeutic or preventive procedure']"
"wrist","1","['body location or region']"
"electric stimulation technique","1","['therapeutic or preventive procedure']"
"remicade","1","['pharmacologic substance']"
"sleep difficulties","1","['sign or symptom']"
"deterioration of status","1","['finding']"
"hardening of the arteries","1","['finding']"
"rheumatoid lung disease","1","['disease or syndrome']"
"hydroxychloroquine","1","['organic chemical', 'pharmacologic substance']"
"ultrasonography","1","['diagnostic procedure']"
"pruritus","1","['sign or symptom']"
"simponi","1","['organic chemical', 'pharmacologic substance']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"psoriasis","1","['disease or syndrome']"
"chloroquine","1","['organic chemical', 'pharmacologic substance']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"eye burns","1","['injury or poisoning']"
"hypersensitivity","1","['clinical attribute', 'finding', 'pathologic function']"
"synovial fluid","1","['body substance']"
"rituximab","1","['pharmacologic substance']"
"excision","1","['therapeutic or preventive procedure']"
"dryness of eye","1","['disease or syndrome', 'sign or symptom']"
"joint mobilization","1","['clinical drug', 'organ or tissue function', 'therapeutic or preventive procedure']"
"warm to touch","1","['finding']"
"protection","1","['finding']"
"hours of sleep","1","['finding']"
"total ankle replacement","1","['therapeutic or preventive procedure']"
"enbrel","1","['pharmacologic substance']"
"treated with","1","['therapeutic or preventive procedure']"
"antirheumatic agents","1","['pharmacologic substance']"
"aspirin","1","['organic chemical', 'pharmacologic substance']"
"fish oils","1","['biologically active substance', 'pharmacologic substance']"
"respiratory air","1","['body substance']"
"body fluid discharge","1","['body substance', 'therapeutic or preventive procedure']"
