"bulbous nose"
"nose - bulbous"
"phymatous rosacea"
"rhinophyma","6","['disease or syndrome']"
"nose","4","['body part, organ, or organ component', 'disease or syndrome']"
"ethanol","2","['organic chemical', 'pharmacologic substance']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"rosacea","1","['disease or syndrome']"
"heavy drinking","1","['mental or behavioral dysfunction']"
"physical findings","1","['finding']"
"medulla oblongata","1","['body part, organ, or organ component']"
"gland","1","['body part, organ, or organ component']"
"thickened","1","['finding']"
"coloring excipient","1","['pharmacologic substance']"
"alcohol consumption","1","['individual behavior']"
"emotional distress","1","['mental or behavioral dysfunction']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"acne medication","1","['organic chemical', 'pharmacologic substance']"
"dermabrasion","1","['finding', 'therapeutic or preventive procedure']"
"treated with","1","['therapeutic or preventive procedure']"
