"familial dysautonomia"
"hereditary sensory and autonomic neuropathy - type iii (hsan iii)"
"tears - specimentype","2","['body substance']"
"muscle tonus","2","['finding', 'organ or tissue function']"
"tachycardia","2","['finding']"
"seizures","2","['finding', 'sign or symptom']"
"muscle hypotonia","2","['sign or symptom']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"dryness of eye","2","['disease or syndrome', 'sign or symptom']"
"body fluids","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"taste perception","2","['organ or tissue function']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"deterioration of status","1","['finding']"
"breath holding","1","['sign or symptom']"
"eye drops brand of tetrahydrozoline","1","['organic chemical', 'pharmacologic substance']"
"tendon structure","1","['body part, organ, or organ component']"
"reflex action","1","['finding', 'organ or tissue function']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"tissue growth","1","['organ or tissue function']"
"heart rate","1","['clinical attribute']"
"constipation","1","['finding', 'sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"swallowing problems","1","['sign or symptom']"
"pallor","1","['finding', 'sign or symptom']"
"deep tendon reflex","1","['clinical attribute', 'receptor']"
"does carry","1","['finding']"
"diarrhea","1","['finding', 'sign or symptom']"
"caffeine","1","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"hypotension orthostatic","1","['finding']"
"sodium chloride","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"irritable mood","1","['finding']"
"poor coordination","1","['finding']"
"increased sweating","1","['sign or symptom']"
"sleeplessness","1","['finding', 'sign or symptom']"
"scoliosis severe","1","['finding']"
"redness","1","['finding']"
"surface of tongue","1","['body location or region', 'finding']"
"fever","1","['finding']"
"counselor","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"deglutition disorders","1","['disease or syndrome']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"hand","1","['body part, organ, or organ component']"
"absent or decreased deep tendon reflexes","1","['finding']"
"physical findings","1","['finding']"
"dna","1","['biologically active substance']"
"poor growth","1","['finding']"
"consciousness related finding","1","['finding']"
"nausea and vomiting","1","['sign or symptom']"
"anticonvulsants","1","['pharmacologic substance']"
"absent adverse event","1","['finding']"
"face","1","['body location or region', 'disease or syndrome']"
"breath-holding spell","1","['sign or symptom']"
"fusion procedure","1","['therapeutic or preventive procedure']"
"pupil","1","['body part, organ, or organ component']"
"gastroesophageal reflux disease","1","['disease or syndrome', 'finding']"
"feeding difficulties","1","['finding']"
"aspiration pneumonia","1","['disease or syndrome']"
"histamine","1","['organic chemical']"
