"acne rosacea"
"rosacea","7","['disease or syndrome']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"precipitating factors","4","['clinical attribute']"
"face","4","['body location or region', 'disease or syndrome']"
"skin ulcer","2","['disease or syndrome', 'finding']"
"nose swelling","2","['finding']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"loss of self-esteem","1","['finding']"
"keratitis","1","['disease or syndrome']"
"bathing","1","['finding', 'therapeutic or preventive procedure']"
"doxycycline","1","['antibiotic', 'organic chemical']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"acne vulgaris","1","['disease or syndrome']"
"redness","1","['finding']"
"watery eyes","1","['disease or syndrome', 'sign or symptom']"
"other skin disorders","1","['disease or syndrome']"
"disorder of eye","1","['disease or syndrome']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"dermatologic disorders","1","['disease or syndrome']"
"red nose","1","['sign or symptom']"
"bulbous nose","1","['finding']"
"relaxation techniques","1","['therapeutic or preventive procedure']"
"tetracycline","1","['antibiotic', 'organic chemical', 'pharmacologic substance']"
"antibiotics","1","['antibiotic']"
"physical findings","1","['finding']"
"yoga","1","['therapeutic or preventive procedure']"
"minocycline","1","['antibiotic', 'organic chemical']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"deep breathing","1","['finding', 'sign or symptom']"
"accutane","1","['organic chemical', 'pharmacologic substance']"
"other medications","1","['pharmacologic substance']"
