"german measles"
"three day measles"
"rubella","17","['disease or syndrome', 'pharmacologic substance']"
"vaccines","10","['pharmacologic substance']"
"measles-mumps-rubella vaccine","4","['pharmacologic substance']"
"exanthema","4","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"booster","3","['therapeutic or preventive procedure']"
"congenital rubella syndrome","2","['congenital abnormality', 'disease or syndrome']"
"bloodshot eye","2","['sign or symptom']"
"fever","2","['finding']"
"measles","2","['disease or syndrome', 'pharmacologic substance']"
"malaise","2","['finding', 'sign or symptom']"
"nose","2","['body part, organ, or organ component', 'disease or syndrome']"
"earache","1","['sign or symptom']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"measles-mumps-rubella vaccination","1","['therapeutic or preventive procedure']"
"throat swab sample","1","['body substance']"
"mumps","1","['disease or syndrome', 'pharmacologic substance']"
"household composition","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"mild adverse event","1","['finding']"
"vaccines combined","1","['pharmacologic substance']"
"inflammation","1","['pathologic function']"
"rubella virus vaccine","1","['pharmacologic substance']"
"contusions","1","['injury or poisoning']"
"acute insulin response","1","['finding']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"taking of swab","1","['diagnostic procedure']"
"headache severe","1","['sign or symptom']"
"injection of therapeutic agent","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"spontaneous abortion","1","['disease or syndrome']"
"rhinorrhea","1","['disease or syndrome', 'sign or symptom']"
"immune system finding","1","['finding']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"neck stiffness","1","['sign or symptom']"
"immunization","1","['therapeutic or preventive procedure']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
