"rubinstein syndrome, rts"
"thumb structure","3","['body part, organ, or organ component']"
"physical findings","3","['finding']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"ear structure","2","['body part, organ, or organ component', 'body substance']"
"kidney","2","['body part, organ, or organ component']"
"short stature","2","['congenital abnormality', 'disease or syndrome', 'finding']"
"eye","2","['body part, organ, or organ component', 'body substance']"
"disability","2","['finding']"
"height / growth measure","2","['finding']"
"rett syndrome","2","['disease or syndrome', 'enzyme']"
"skills","2","['individual behavior']"
"cryptorchidism","2","['congenital abnormality']"
"mental retardation","2","['mental or behavioral dysfunction']"
"constipation","1","['finding', 'sign or symptom']"
"eyelash","1","['body part, organ, or organ component']"
"deafness","1","['disease or syndrome', 'finding']"
"beaked nose","1","['finding']"
"eyebrow structure","1","['body part, organ, or organ component']"
"muscle tonus","1","['finding', 'organ or tissue function']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"hair","1","['body part, organ, or organ component']"
"malformed ears","1","['congenital abnormality']"
"heart beat","1","['organ or tissue function']"
"toes","1","['body part, organ, or organ component']"
"hallux structure","1","['body part, organ, or organ component']"
"seizures","1","['finding', 'sign or symptom']"
"abnormal protein","1","['biologically active substance']"
"most cases are sporadic","1","['finding']"
"muscle hypotonia","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"hirsutism","1","['disease or syndrome', 'finding']"
"infection of ear","1","['disease or syndrome']"
"congenital heart defects","1","['congenital abnormality']"
"delay in motor development","1","['finding']"
"crebbp protein human","1","['biologically active substance', 'enzyme']"
"iris douglasiana flower essence","1","['pharmacologic substance']"
"testis","1","['body part, organ, or organ component', 'disease or syndrome']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"arched eyebrows","1","['finding']"
"malaise","1","['finding', 'sign or symptom']"
"ep300 protein human","1","['biologically active substance', 'enzyme']"
"gait","1","['finding']"
"urinary bladder","1","['body part, organ, or organ component']"
"tooth structure","1","['body part, organ, or organ component']"
"broad thumb","1","['finding']"
"ptosis","1","['acquired abnormality', 'disease or syndrome']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"level","1","['pharmacologic substance']"
"absent adverse event","1","['finding']"
"proteins","1","['biologically active substance']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"long eyelashes","1","['finding']"
"feeding difficulties","1","['finding']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
"symptoms signs and ill-defined conditions","1","['sign or symptom']"
