"malnutrition","3","['disease or syndrome']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"stimulation procedure","2","['therapeutic or preventive procedure']"
"failure to thrive","1","['disease or syndrome']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"finding of serum electrolyte levels","1","['finding']"
"mild adverse event","1","['finding']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"gastrointestinal system finding","1","['finding']"
"stenosis unspecified","1","['pathologic function']"
"regurgitation","1","['finding', 'sign or symptom']"
"physical findings","1","['finding']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"pyloric stenosis","1","['finding']"
"anemia","1","['disease or syndrome']"
