"sarcoidosis","9","['disease or syndrome', 'neoplastic process']"
"lung","9","['body part, organ, or organ component', 'disease or syndrome']"
"dry skin","3","['finding', 'pharmacologic substance', 'sign or symptom']"
"physical findings","3","['finding']"
"tissue damage","3","['injury or poisoning']"
"serum","3","['biologically active substance', 'body substance', 'pharmacologic substance']"
"calcium level result","2","['laboratory or test result']"
"adverse event associated with death","2","['finding']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"dyspnea","2","['sign or symptom']"
"lymph nodes","2","['body part, organ, or organ component']"
"hepatomegaly","2","['sign or symptom']"
"plain x-ray","2","['diagnostic procedure']"
"respiratory air","2","['body substance']"
"blind vision","2","['disease or syndrome']"
"neurological observations","2","['finding']"
"chest x-ray","2","['diagnostic procedure']"
"granuloma","2","['pathologic function']"
"adrenal cortex hormones","2","['pharmacologic substance']"
"malaise","2","['finding', 'sign or symptom']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"imaging techniques","1","['diagnostic procedure']"
"osteoporosis","1","['disease or syndrome', 'finding']"
"bronchoscopy","1","['diagnostic procedure']"
"dry cough","1","['sign or symptom']"
"weakness","1","['sign or symptom']"
"spell","1","['finding']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"cicatrix","1","['finding', 'pathologic function']"
"neurocirculatory asthenia","1","['disease or syndrome', 'mental or behavioral dysfunction']"
"kidney calculi","1","['disease or syndrome']"
"breast","1","['body part, organ, or organ component']"
"cause of death","1","['finding', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"immunosuppressive agents","1","['pharmacologic substance']"
"body part","1","['body location or region', 'body part, organ, or organ component']"
"uveitis","1","['disease or syndrome', 'finding']"
"calcium increased level","1","['finding']"
"fainting spells","1","['finding']"
"methylprednisolone","1","['pharmacologic substance']"
"hair","1","['body part, organ, or organ component']"
"pulmonary hypertension","1","['disease or syndrome', 'finding']"
"chest abnormal","1","['finding']"
"abnormal breath sounds","1","['sign or symptom']"
"inflammation","1","['pathologic function']"
"pulmonary fibrosis","1","['disease or syndrome']"
"leg","1","['body location or region']"
"lymphadenopathy","1","['disease or syndrome', 'finding']"
"liver function","1","['organ or tissue function']"
"immune system finding","1","['finding']"
"glaucoma","1","['disease or syndrome', 'finding']"
"transplantation","1","['therapeutic or preventive procedure']"
"xerostomia","1","['sign or symptom']"
"transplanted organ","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"female","1","['finding']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"erythema nodosum","1","['disease or syndrome']"
"headache","1","['sign or symptom']"
"cutaneous sarcoidosis","1","['disease or syndrome']"
"anatomic node","1","['body part, organ, or organ component']"
"alopecia","1","['finding']"
"immunoglobulins","1","['pharmacologic substance']"
"dryness of eye","1","['disease or syndrome', 'sign or symptom']"
"splenomegaly","1","['finding']"
"sternum","1","['body part, organ, or organ component']"
"itching of eye","1","['finding']"
"azathioprine","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"body fluid discharge","1","['body substance', 'therapeutic or preventive procedure']"
"gland","1","['body part, organ, or organ component']"
"palpitations","1","['finding']"
"heart rhythm","1","['organ or tissue function', 'pathologic function']"
"body weight decreased","1","['finding']"
"abnormal chest x-ray","1","['finding']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"very rare","1","['finding']"
"respiratory sounds","1","['clinical attribute']"
"rales","1","['finding', 'sign or symptom']"
"abdomen","1","['body location or region']"
"male gender","1","['finding']"
"hydroxychloroquine","1","['organic chemical', 'pharmacologic substance']"
"rash both legs","1","['disease or syndrome']"
"arthralgia","1","['finding', 'sign or symptom']"
"skin ulcer","1","['disease or syndrome', 'finding']"
"face","1","['body location or region', 'disease or syndrome']"
