"sarcoptes scabiei"
"scabies","13","['disease or syndrome']"
"pruritus","3","['sign or symptom']"
"burrow wound","3","['injury or poisoning']"
"sole of foot","2","['body location or region']"
"exanthema","2","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"physical findings","2","['finding']"
"ivermectin","1","['organic chemical', 'pharmacologic substance']"
"bathing","1","['finding', 'therapeutic or preventive procedure']"
"pimples","1","['finding', 'pathologic function']"
"head and neck structure","1","['body location or region']"
"calamine topical lotion","1","['clinical drug']"
"soaking procedure","1","['therapeutic or preventive procedure']"
"infantile neuroaxonal dystrophy","1","['disease or syndrome']"
"peeling of skin","1","['finding', 'pathologic function']"
"impetigo","1","['disease or syndrome']"
"crotamiton","1","['organic chemical', 'pharmacologic substance']"
"wrist+hand","1","['body part, organ, or organ component']"
"fingers","1","['body location or region']"
"trunk structure","1","['body location or region']"
"benzyl benzoate","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"norwegian scabies","1","['disease or syndrome']"
"hiv","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"contraceptives oral","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"superficial abrasion","1","['injury or poisoning']"
"abdomen","1","['body location or region']"
"hand","1","['body part, organ, or organ component']"
"antihistamines","1","['organic chemical', 'pharmacologic substance']"
"toremifene","1","['organic chemical', 'pharmacologic substance']"
"prurigo","1","['disease or syndrome']"
"sulfur","1","['pharmacologic substance']"
"bulla","1","['pathologic function']"
"nursing therapy","1","['therapeutic or preventive procedure']"
"sample pool","1","['clinical attribute']"
"shoulder","1","['body location or region']"
"lindane","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"genitalia","1","['body part, organ, or organ component']"
"petrolatum","1","['organic chemical', 'pharmacologic substance']"
"pet health","1","['group attribute']"
"hot water","1","['inorganic chemical']"
