"atypical parkinson’s disease"
"parkinsonism - secondary"
"parkinsonian disorders","15","['disease or syndrome']"
"secondary parkinson disease","14","['disease or syndrome']"
"pharmaceutical preparations","11","['pharmacologic substance']"
"tissue damage","3","['injury or poisoning']"
"dopamine","3","['organic chemical', 'pharmacologic substance']"
"antipsychotic agents","3","['pharmacologic substance']"
"deterioration of status","2","['finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"mercury poisoning","2","['injury or poisoning']"
"brain injuries","2","['injury or poisoning']"
"neurological observations","2","['finding']"
"tremor","2","['finding', 'sign or symptom']"
"pharmacologic substance","2","['pharmacologic substance', 'therapeutic or preventive procedure']"
"confusion","2","['finding', 'mental or behavioral dysfunction']"
"paralysed","2","['finding']"
"progressive supranuclear palsy","1","['biologically active substance', 'disease or syndrome']"
"haloperidol","1","['organic chemical', 'pharmacologic substance']"
"structure of deep vein","1","['body part, organ, or organ component']"
"disability","1","['finding']"
"malnutrition","1","['disease or syndrome']"
"muscle tonus","1","['finding', 'organ or tissue function']"
"reflex action","1","['finding', 'organ or tissue function']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"leg","1","['body location or region']"
"muscle hypertonia","1","['sign or symptom']"
"involuntary movements","1","['sign or symptom']"
"weakness","1","['sign or symptom']"
"phenothiazine","1","['organic chemical', 'pharmacologic substance']"
"nervous system disorder","1","['disease or syndrome']"
"narcotics","1","['biologically active substance', 'hazardous or poisonous substance', 'pharmacologic substance']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"intravenous infusion procedures","1","['therapeutic or preventive procedure']"
"trunk structure","1","['body location or region']"
"facial expression","1","['finding']"
"meningitis/encephalitis","1","['disease or syndrome']"
"posture brand of calcium phosphate tribasic","1","['inorganic chemical', 'pharmacologic substance']"
"disorientation","1","['finding', 'mental or behavioral dysfunction']"
"asthenia","1","['sign or symptom']"
"debilitation","1","['finding']"
"meningitis","1","['disease or syndrome']"
"atrophic","1","['disease or syndrome', 'pathologic function']"
"metoclopramide","1","['organic chemical', 'pharmacologic substance']"
"expression procedure","1","['therapeutic or preventive procedure']"
"multiple system atrophy","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"memory observations","1","['finding']"
"falls","1","['finding', 'injury or poisoning']"
"memory loss","1","['mental or behavioral dysfunction', 'sign or symptom']"
"heroin","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"muscle movement","1","['finding']"
"overdose","1","['injury or poisoning']"
"nausea","1","['finding', 'sign or symptom']"
"cerebrovascular accident","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"deep vein thrombosis","1","['disease or syndrome']"
"carbon monoxide poisoning","1","['injury or poisoning']"
"hallucinations","1","['mental or behavioral dysfunction']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"stiffness","1","['sign or symptom']"
"veins","1","['body part, organ, or organ component']"
"dizziness","1","['finding', 'sign or symptom']"
"muscle function","1","['finding', 'organ or tissue function']"
"encephalitis","1","['disease or syndrome']"
"venous thrombosis","1","['finding', 'pathologic function']"
"other medications","1","['pharmacologic substance']"
