"amyloidosis - secondary systemic"
"amyloidosis","10","['disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"respiratory air","2","['body substance']"
"heart beat","2","['organ or tissue function']"
"dyspnea","2","['sign or symptom']"
"abnormal protein","2","['biologically active substance']"
"systemic amyloidosis","2","['disease or syndrome', 'neoplastic process']"
"amyloidosis hereditary","2","['disease or syndrome']"
"cardiac arrhythmia","2","['finding', 'pathologic function']"
"multiple myeloma","2","['neoplastic process']"
"numbness","2","['finding', 'sign or symptom']"
"proteins","2","['biologically active substance']"
"primary amyloidosis","2","['disease or syndrome']"
"kidney failure","1","['disease or syndrome', 'finding']"
"tuberculosis","1","['disease or syndrome', 'pharmacologic substance']"
"arthritis juvenile rheumatoid","1","['disease or syndrome']"
"irregular bleeding nos","1","['sign or symptom']"
"chronic osteomyelitis site unspecified","1","['disease or syndrome']"
"tests and testing","1","['diagnostic procedure']"
"ankylosing spondylitis","1","['disease or syndrome']"
"nerve conduction function","1","['organ or tissue function']"
"prompt","1","['pharmacologic substance']"
"creatinine","1","['biologically active substance', 'finding', 'organic chemical']"
"senile cardiac amyloidosis","1","['disease or syndrome']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"bronchiectasis","1","['disease or syndrome']"
"systemic infection","1","['disease or syndrome']"
"heart failure","1","['disease or syndrome']"
"tongue swelling","1","['pathologic function']"
"leg","1","['body location or region']"
"transabdominal ultrasound","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"inflammation","1","['pathologic function']"
"stem cell transplant","1","['therapeutic or preventive procedure']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"ultrasonography","1","['diagnostic procedure']"
"bone marrow biopsy","1","['diagnostic procedure']"
"abscess of skin and/or subcutaneous tissue","1","['pathologic function']"
"body weight decreased","1","['finding']"
"hemodialysis","1","['therapeutic or preventive procedure']"
"blood urea nitrogen","1","['biologically active substance', 'inorganic chemical', 'organic chemical']"
"fatigue","1","['sign or symptom']"
"liver","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"plaque amyloid","1","['acquired abnormality']"
"rectum","1","['body part, organ, or organ component', 'disease or syndrome']"
"lupus erythematosus systemic","1","['disease or syndrome']"
"biopsy of bone","1","['diagnostic procedure']"
"adverse event associated with death","1","['finding']"
"echocardiography","1","['diagnostic procedure']"
"tongue weak","1","['finding']"
"chronic arthritis","1","['disease or syndrome']"
"respiratory failure","1","['disease or syndrome', 'pathologic function']"
"stem of organ","1","['body part, organ, or organ component']"
"electrocardiogram","1","['diagnostic procedure', 'finding', 'organic chemical', 'pharmacologic substance']"
"transplantation","1","['therapeutic or preventive procedure']"
"cystic fibrosis","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"nerve conduction velocity test","1","['diagnostic procedure', 'finding']"
"hand grip","1","['diagnostic procedure']"
"cardiac conduction","1","['organ or tissue function']"
"hairy cell leukemia","1","['inorganic chemical', 'neoplastic process']"
