"selective mutism","13","['mental or behavioral dysfunction']"
"anxiety disorders","5","['finding', 'mental or behavioral dysfunction']"
"phobia social","2","['mental or behavioral dysfunction']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"phobic anxiety disorder","2","['mental or behavioral dysfunction']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"social anxiety","1","['mental or behavioral dysfunction']"
"deterioration of status","1","['finding']"
"physical findings","1","['finding']"
