"acquired hearing loss"
"hearing loss - sensorineural"
"nerve deafness"
"nihl"
"noise-induced hearing loss"
"snhl"
"hearing examination finding","11","['finding']"
"deafness","10","['disease or syndrome', 'finding']"
"brain","4","['body part, organ, or organ component', 'disease or syndrome']"
"presbycusis","4","['pathologic function']"
"ear structure","4","['body part, organ, or organ component', 'body substance']"
"tissue damage","3","['injury or poisoning']"
"implantation procedure","3","['therapeutic or preventive procedure']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"labyrinth","2","['body part, organ, or organ component', 'disease or syndrome']"
"acoustic neuroma","2","['neoplastic process']"
"hearing loss partial","1","['disease or syndrome', 'finding']"
"lymphoid interstitial pneumonia","1","['body part, organ, or organ component', 'disease or syndrome']"
"rubella","1","['disease or syndrome', 'pharmacologic substance']"
"cochlear implant procedure","1","['therapeutic or preventive procedure']"
"hair","1","['body part, organ, or organ component']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"genetic syndrome","1","['disease or syndrome']"
"toxoplasmosis","1","['disease or syndrome']"
"cochlear structure","1","['body part, organ, or organ component']"
"mumps meningitis","1","['disease or syndrome']"
"cochlear nerve","1","['body part, organ, or organ component']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"measles","1","['disease or syndrome', 'pharmacologic substance']"
"normal hearing","1","['finding']"
"does carry","1","['finding']"
"herpes","1","['disease or syndrome']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"scarlet fever","1","['disease or syndrome']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
"dizziness","1","['finding', 'sign or symptom']"
"loss of speech","1","['finding']"
