"loeffler syndrome"
"pulmonary infiltrates with eosinophilia"
"lung","4","['body part, organ, or organ component', 'disease or syndrome']"
"pharmacologic substance","3","['pharmacologic substance', 'therapeutic or preventive procedure']"
"simple pulmonary eosinophilia","3","['disease or syndrome']"
"specimen type - eosinophils","2","['body substance']"
"inflammation","2","['pathologic function']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"rales","2","['finding', 'sign or symptom']"
"malaise","2","['finding', 'sign or symptom']"
"physical findings","2","['finding']"
"eosinophilic pneumonia","1","['disease or syndrome']"
"irrigation","1","['therapeutic or preventive procedure']"
"talking with your doctor","1","['individual behavior']"
"pneumonia pneumocystis carinii","1","['disease or syndrome', 'hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"respiratory air","1","['body substance']"
"metals","1","['inorganic chemical']"
"cough with fever","1","['sign or symptom']"
"aspergillus fumigatus extract","1","['pharmacologic substance']"
"dry skin","1","['finding', 'pharmacologic substance', 'sign or symptom']"
"infiltration","1","['pathologic function']"
"anti-inflammatory agents non-steroidal","1","['pharmacologic substance']"
"bronchoscopy","1","['diagnostic procedure']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"chest x-ray","1","['diagnostic procedure']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"dry cough","1","['sign or symptom']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"dyspnea","1","['sign or symptom']"
"respiratory rate","1","['clinical attribute']"
"ancylostomiasis due to ancylostoma duodenale","1","['disease or syndrome']"
"helminthiasis","1","['disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"gastric lavage","1","['therapeutic or preventive procedure']"
"sulfonamides","1","['organic chemical', 'pharmacologic substance']"
"fungus in medical device environment","1","['finding']"
