"hyperpigmentation"
"hypopigmentation"
"lithium","229","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","76","['biologically active substance', 'pharmacologic substance']"
"uterine fibroids","44","['neoplastic process']"
"rhythm","40","['finding']"
"medical history","37","['finding']"
"surgical margins","25","['body part, organ, or organ component']"
"histone h3","24","['biologically active substance']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"hepatic","14","['body location or region']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"target lesion identification","7","['diagnostic procedure']"
"coloring excipient","7","['pharmacologic substance']"
"hyperpigmentation","7","['finding', 'pathologic function']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"alanine transaminase","5","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"thrombasthenia","4","['disease or syndrome']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"thumb structure","4","['body part, organ, or organ component']"
"abnormal color","4","['finding']"
"upper respiratory infections","4","['disease or syndrome']"
"blank","4","['finding']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"melanins","4","['biologically active substance', 'organic chemical']"
"muscular dystrophy","3","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"date allergenic extract","3","['pharmacologic substance']"
"pharmaceutical preparations","3","['pharmacologic substance']"
"disorder of middle ear","3","['disease or syndrome']"
"ear structure","3","['body part, organ, or organ component', 'body substance']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"general anesthesia","2","['enzyme', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"observation result","2","['finding']"
"dermatitis","2","['disease or syndrome']"
"malignant neoplasm of skin","2","['neoplastic process']"
"bloch sulzberger syndrome","2","['congenital abnormality', 'disease or syndrome']"
"bony process","2","['body part, organ, or organ component']"
"inflammation","2","['pathologic function']"
"infection of ear","2","['disease or syndrome']"
"discoloration of skin","2","['pathologic function']"
"vitiligo","2","['disease or syndrome']"
"thymidine","2","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"anatomic site","2","['body location or region']"
"prealbumin","2","['biologically active substance']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"formycin triphosphate","2","['pharmacologic substance']"
"exanthema","2","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"signs and symptoms","2","['sign or symptom']"
"pallor","2","['finding', 'sign or symptom']"
"does skip","2","['biologically active substance', 'finding']"
"hypopigmentation disorder","2","['disease or syndrome', 'finding']"
"educational status","2","['finding', 'individual behavior']"
"immunoconjugates","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"core specimen","2","['body substance']"
"stat protein","1","['biologically active substance', 'finding']"
"gtpase-activating proteins","1","['biologically active substance']"
"sole of foot","1","['body location or region']"
"matrix attachment regions","1","['biologically active substance', 'clinical attribute']"
"iron overload","1","['disease or syndrome', 'finding']"
"compact pattern","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"expression procedure","1","['therapeutic or preventive procedure']"
"hemochromatosis","1","['disease or syndrome']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"corticotropin","1","['pharmacologic substance']"
"craniodiaphyseal dysplasia","1","['congenital abnormality']"
"fibronectins","1","['biologically active substance']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"pigmentation disorders","1","['disease or syndrome', 'finding']"
"solar lentigo","1","['acquired abnormality']"
"treatment options","1","['therapeutic or preventive procedure']"
"electroconvulsive therapy","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"ask question","1","['finding']"
"sore to touch","1","['sign or symptom']"
"paroxysmal atrial fibrillation","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"research outcome","1","['finding']"
"elbow","1","['body location or region', 'congenital abnormality']"
"skin tanning","1","['individual behavior', 'organic chemical', 'pharmacologic substance']"
"suntan","1","['organ or tissue function']"
"skin pigmentation disorder","1","['disease or syndrome', 'finding', 'individual behavior']"
"anterior segmental vein","1","['body part, organ, or organ component']"
"structure of calf of leg","1","['body location or region']"
"nevus","1","['neoplastic process']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"earache","1","['sign or symptom']"
"deterioration of status","1","['finding']"
"crying","1","['individual behavior']"
"phosducin","1","['biologically active substance', 'disease or syndrome']"
"acute otitis media","1","['disease or syndrome']"
"dna","1","['biologically active substance']"
"sore on skin","1","['disease or syndrome', 'finding']"
"endocrine system diseases","1","['disease or syndrome', 'finding']"
"acute infection","1","['disease or syndrome']"
"pityriasis alba","1","['disease or syndrome']"
"liver","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"mycoses","1","['disease or syndrome']"
"doxorubicin","1","['antibiotic', 'finding', 'organic chemical']"
"lightening of fetus","1","['finding']"
"tinea versicolor","1","['disease or syndrome']"
"phototherapy","1","['therapeutic or preventive procedure']"
"alba brand of normal human serum","1","['pharmacologic substance']"
"anatomic border","1","['body location or region']"
"stimulation procedure","1","['therapeutic or preventive procedure']"
"aplasia cutis congenita","1","['congenital abnormality', 'disease or syndrome']"
"fever","1","['finding']"
"parotid double-band protein","1","['biologically active substance']"
"may-hegglin anomaly","1","['finding', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"hand","1","['body part, organ, or organ component']"
"knee","1","['body part, organ, or organ component']"
"emotional support","1","['therapeutic or preventive procedure']"
"face","1","['body location or region', 'disease or syndrome']"
"berman","1","['pharmacologic substance']"
