"briquet syndrome"
"does talk","2","['finding']"
"deterioration of status","1","['finding']"
"respiratory air","1","['body substance']"
"stress psychological","1","['mental or behavioral dysfunction']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"sedatives","1","['pharmacologic substance']"
"palpitations","1","['finding']"
"pain relieve brand of acetaminophen","1","['organic chemical', 'pharmacologic substance']"
"diagnostic tests","1","['diagnostic procedure']"
"dyspnea","1","['sign or symptom']"
"neurological observations","1","['finding']"
"emotional stress","1","['mental or behavioral dysfunction']"
"irritable bowel syndrome","1","['congenital abnormality', 'disease or syndrome']"
"diarrhea","1","['finding', 'sign or symptom']"
"dysmenorrhea","1","['pathologic function']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"chest","1","['body location or region', 'disease or syndrome']"
"amnesia","1","['mental or behavioral dysfunction', 'sign or symptom']"
"somatization disorder","1","['mental or behavioral dysfunction']"
"emotional well-being","1","['clinical attribute', 'finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"erectile dysfunction","1","['disease or syndrome', 'finding']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"anxiety disorders","1","['finding', 'mental or behavioral dysfunction']"
"leg","1","['body location or region']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"reproductive system finding","1","['finding']"
"physical findings","1","['finding']"
"psychotherapy","1","['therapeutic or preventive procedure']"
"test result","1","['finding']"
"intestines","1","['body part, organ, or organ component']"
"nausea","1","['finding', 'sign or symptom']"
"level","1","['pharmacologic substance']"
"paralysed","1","['finding']"
"worried","1","['finding']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"muscle weakness","1","['sign or symptom']"
"dizziness","1","['finding', 'sign or symptom']"
"headache","1","['sign or symptom']"
