"compression of spinal cord"
"cord compression"
"sci"
"spinal cord injury"
"cord - body parts","35","['body part, organ, or organ component', 'disease or syndrome']"
"spinal cord","33","['body part, organ, or organ component', 'disease or syndrome']"
"vertebral column","13","['body part, organ, or organ component']"
"urinary bladder","8","['body part, organ, or organ component']"
"paralysed","8","['finding']"
"skeletal bone","7","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"spinal cord injuries","7","['injury or poisoning']"
"injury wounds","6","['body substance', 'injury or poisoning']"
"intestines","6","['body part, organ, or organ component']"
"tissue damage","6","['injury or poisoning']"
"muscle spasticity","5","['sign or symptom']"
"set of muscles","5","['body part, organ, or organ component']"
"level","5","['pharmacologic substance']"
"pressure ulcer","4","['disease or syndrome']"
"fragments","4","['body substance']"
"water","4","['inorganic chemical', 'pharmacologic substance']"
"traffic accidents","3","['injury or poisoning']"
"leg","3","['body location or region']"
"feeling of loss of feeling","3","['sign or symptom']"
"numbness","3","['finding', 'sign or symptom']"
"spinal injuries","3","['injury or poisoning']"
"reflex action","2","['finding', 'organ or tissue function']"
"osteoporosis","2","['disease or syndrome', 'finding']"
"rehabilitation therapy","2","['therapeutic or preventive procedure']"
"disability","2","['finding']"
"weakness","2","['sign or symptom']"
"autonomic dysreflexia","2","['disease or syndrome']"
"adverse event associated with death","2","['finding']"
"gunshot wound","2","['injury or poisoning']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"lumbar region","2","['body location or region']"
"bone structure of cranium","2","['body part, organ, or organ component']"
"anatomic site","2","['body location or region']"
"lung","2","['body part, organ, or organ component', 'disease or syndrome']"
"traction","2","['therapeutic or preventive procedure']"
"hyperreflexia","2","['finding']"
"kidney","2","['body part, organ, or organ component']"
"neurological observations","2","['finding']"
"erectile dysfunction","2","['disease or syndrome', 'finding']"
"bone structure of spine","2","['body part, organ, or organ component']"
"falls","2","['finding', 'injury or poisoning']"
"lower back structure","2","['body part, organ, or organ component']"
"injection procedure","1","['therapeutic or preventive procedure']"
"swelling","1","['finding', 'pathologic function']"
"muscle tonus","1","['finding', 'organ or tissue function']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"bladder spasm","1","['finding', 'sign or symptom']"
"contracture","1","['acquired abnormality']"
"date allergenic extract","1","['pharmacologic substance']"
"urinary tract infection","1","['disease or syndrome']"
"stenosis unspecified","1","['pathologic function']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"esthesia","1","['finding', 'organ or tissue function']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"sporting accident","1","['injury or poisoning']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"physical findings","1","['finding']"
"spinal nerve structure","1","['body part, organ, or organ component']"
"blow -accident","1","['hazardous or poisonous substance', 'injury or poisoning', 'organic chemical', 'pharmacologic substance']"
"first lumbar vertebra","1","['body part, organ, or organ component']"
"nerve root","1","['body part, organ, or organ component']"
"quadriplegia","1","['disease or syndrome']"
"immunization","1","['therapeutic or preventive procedure']"
"veins","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"chiropractic manipulation","1","['therapeutic or preventive procedure']"
"constipation","1","['finding', 'sign or symptom']"
"does play","1","['finding']"
"structure of deep vein","1","['body part, organ, or organ component']"
"head and neck structure","1","['body location or region']"
"methylprednisolone","1","['pharmacologic substance']"
"skin integrity impairment","1","['finding']"
"muscle hypertonia","1","['sign or symptom']"
"lead","1","['biologically active substance', 'hazardous or poisonous substance', 'inorganic chemical', 'pharmacologic substance']"
"prostate carcinoma","1","['neoplastic process']"
"neck injuries","1","['injury or poisoning']"
"bone structure of lumbar vertebra","1","['body part, organ, or organ component']"
"spinal decompression","1","['therapeutic or preventive procedure']"
"back injuries","1","['injury or poisoning']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"catheterization","1","['finding', 'therapeutic or preventive procedure']"
"myelography","1","['diagnostic procedure']"
"dexamethasone","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"thoracic spinal cord structure","1","['body location or region', 'body part, organ, or organ component']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"male gender","1","['finding']"
"normal body temperature","1","['finding']"
"body site modifier - lower","1","['body location or region']"
"occupational therapy regime","1","['therapeutic or preventive procedure']"
"dyspnea","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"immobile","1","['body substance', 'finding']"
"venous thrombosis","1","['finding', 'pathologic function']"
"botox","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"somatosensory evoked potentials","1","['diagnostic procedure', 'organ or tissue function']"
"bony process","1","['body part, organ, or organ component']"
"deep vein thrombosis","1","['disease or syndrome']"
"cauda equina","1","['body part, organ, or organ component']"
"neurologic examination","1","['diagnostic procedure']"
"incised wound","1","['injury or poisoning']"
"neurogenic urinary bladder","1","['disease or syndrome']"
"blood pressure problem","1","['finding']"
"tissue growth","1","['organ or tissue function']"
"abnormal sweating","1","['finding']"
"painkillers","1","['pharmacologic substance']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"decompression laminectomy","1","['therapeutic or preventive procedure']"
"chest","1","['body location or region', 'disease or syndrome']"
"stimulation procedure","1","['therapeutic or preventive procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"both legs","1","['body part, organ, or organ component']"
"assault","1","['injury or poisoning']"
"athletic injuries","1","['injury or poisoning']"
"manipulation procedure","1","['therapeutic or preventive procedure']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"multiple endocrine neoplasia","1","['antibiotic', 'neoplastic process', 'organic chemical']"
"spinal stenosis","1","['disease or syndrome']"
"analgesics","1","['organic chemical', 'pharmacologic substance']"
"urinary incontinence","1","['finding', 'pathologic function']"
