"fingernail hemorrhage"
"hemorrhage","12","['pathologic function', 'therapeutic or preventive procedure']"
"splinter hemorrhages","10","['pathologic function']"
"splinter in skin","10","['injury or poisoning']"
"nail plate","6","['body part, organ, or organ component', 'body substance']"
"blood vessel","3","['body part, organ, or organ component', 'finding']"
"tissue damage","3","['injury or poisoning']"
"blood capillaries","2","['body part, organ, or organ component', 'disease or syndrome']"
"blood clot","2","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"malaise","2","['finding', 'sign or symptom']"
"structure of nail of finger","2","['body part, organ, or organ component']"
"respiratory air","1","['body substance']"
"tissue growth","1","['organ or tissue function']"
"heart valves","1","['body part, organ, or organ component']"
"dyspnea","1","['sign or symptom']"
"chest x-ray","1","['diagnostic procedure']"
"bacterial endocarditis","1","['disease or syndrome']"
"bleeding site unspecified","1","['sign or symptom']"
"fever","1","['finding']"
"plain x-ray","1","['diagnostic procedure']"
"extended rotated sidebent","1","['clinical attribute', 'disease or syndrome', 'finding']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"structure of nail of toe","1","['body part, organ, or organ component']"
"echocardiography","1","['diagnostic procedure']"
"myalgia","1","['finding', 'sign or symptom']"
"erythrocyte sedimentation rate result","1","['clinical attribute', 'finding']"
"nail growth","1","['finding']"
