"bile fluid","4","['body substance']"
"biliary tract structure","3","['body part, organ, or organ component']"
"coloring excipient","2","['pharmacologic substance']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"endoscopic retrograde cholangiopancreatography","2","['diagnostic procedure', 'organ or tissue function']"
"bile duct structure","2","['body part, organ, or organ component']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"cholangitis sclerosing","1","['disease or syndrome']"
"production processing id","1","['finding']"
"cholelithiasis","1","['body substance', 'disease or syndrome']"
"icterus","1","['finding', 'pathologic function']"
"viral hepatitis","1","['disease or syndrome', 'finding', 'virus']"
"ultrasonography","1","['diagnostic procedure']"
"liver and gallbladder","1","['body part, organ, or organ component']"
"benign neoplasm","1","['neoplastic process']"
"liver+pancreas","1","['body part, organ, or organ component']"
"transabdominal ultrasound","1","['diagnostic procedure']"
"hepatitis alcoholic","1","['disease or syndrome']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"biliary cirrhosis","1","['disease or syndrome']"
"liver function","1","['organ or tissue function']"
"feces discolored","1","['finding']"
"pancreas","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"ask question","1","['finding']"
"bile salts","1","['biologically active substance']"
"clay","1","['inorganic chemical']"
"cyst","1","['body substance', 'disease or syndrome']"
