"strongyloidiasis","4","['disease or syndrome']"
"luq ruq abdominal pain","2","['sign or symptom']"
"nematode infections","2","['disease or syndrome']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"anus","2","['body part, organ, or organ component', 'disease or syndrome']"
"immune system finding","2","['finding']"
"ivermectin","1","['organic chemical', 'pharmacologic substance']"
"eosinophilic pneumonia","1","['disease or syndrome']"
"albendazole","1","['organic chemical', 'pharmacologic substance']"
"body weight decreased","1","['finding']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"diarrhea","1","['finding', 'sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"intestines small","1","['body part, organ, or organ component', 'disease or syndrome']"
"hiv","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"helminthiasis","1","['disease or syndrome']"
"upper abdomen structure","1","['body part, organ, or organ component']"
"physical findings","1","['finding']"
"tract","1","['body part, organ, or organ component']"
"eosinophil count result","1","['laboratory or test result']"
"self care hygiene","1","['finding']"
"malnutrition","1","['disease or syndrome']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"airway structure","1","['body part, organ, or organ component']"
