"encephalotrigeminal angiomatosis"
"seizures","7","['finding', 'sign or symptom']"
"port-wine stain","5","['congenital abnormality']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"tissue growth","2","['organ or tissue function']"
"neurological observations","2","['finding']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"weakness","2","['sign or symptom']"
"physical findings","2","['finding']"
"paralysed","2","['finding']"
"glaucoma","2","['disease or syndrome', 'finding']"
"face","2","['body location or region', 'disease or syndrome']"
"birthmarks","2","['congenital abnormality']"
"blood vessel abnormal","1","['finding']"
"disability","1","['finding']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"eye drops brand of tetrahydrozoline","1","['organic chemical', 'pharmacologic substance']"
"anticonvulsants","1","['pharmacologic substance']"
"problem behavior","1","['finding', 'mental or behavioral dysfunction']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"learning disabilities","1","['mental or behavioral dysfunction']"
"magnetic resonance imaging","1","['diagnostic procedure']"
