"subdural effusion","4","['acquired abnormality']"
"antibiotics","2","['antibiotic']"
"body fluids","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"influenza","1","['disease or syndrome', 'pharmacologic substance']"
"lethargy","1","['sign or symptom']"
"physical findings","1","['finding']"
"surgical fistula","1","['finding']"
"persistent fever","1","['pathologic function']"
"empyema subdural","1","['disease or syndrome']"
"meningitis bacterial","1","['disease or syndrome']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"brain injuries","1","['injury or poisoning']"
"ultrasonography","1","['diagnostic procedure']"
"seizures","1","['finding', 'sign or symptom']"
"febrile convulsions","1","['disease or syndrome', 'pharmacologic substance']"
"circumference measurements","1","['finding']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"dura mater","1","['body part, organ, or organ component']"
"weakness","1","['sign or symptom']"
"increased head circumference","1","['finding']"
"bulging fontanelle","1","['sign or symptom']"
"neurological problem","1","['finding']"
"tissue damage","1","['injury or poisoning']"
"veins","1","['body part, organ, or organ component']"
"echoencephalography","1","['diagnostic procedure']"
"head size","1","['finding']"
