"superior vena cava obstruction"
"superior vena cava syndrome"
"malignant neoplasms","8","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"structure of vein of trunk","7","['body part, organ, or organ component']"
"superior vena cava structure","7","['body part, organ, or organ component']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"face","4","['body location or region', 'disease or syndrome']"
"blood clot","4","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"upper arm","4","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"veins","4","['body part, organ, or organ component']"
"dyspnea","3","['sign or symptom']"
"carcinoma of lung","3","['neoplastic process']"
"neck","3","['body location or region']"
"magnetic resonance imaging","2","['diagnostic procedure']"
"thyroid carcinoma","2","['neoplastic process']"
"cognitive therapy","2","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"radioisotope function study of liver","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"coronary angiography","1","['diagnostic procedure']"
"ultrasonography","1","['diagnostic procedure']"
"inflammation or infection","1","['pathologic function']"
"trachea","1","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"aortic aneurysm","1","['disease or syndrome']"
"breast carcinoma","1","['neoplastic process']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"arteries","1","['body part, organ, or organ component']"
"esthesia","1","['finding', 'organ or tissue function']"
"heart motion","1","['organ or tissue function']"
"chest x-ray","1","['diagnostic procedure']"
"treatment options","1","['therapeutic or preventive procedure']"
"thyroid gland","1","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"histoplasmosis","1","['disease or syndrome']"
"trunk structure","1","['body location or region']"
"swelling of eye","1","['sign or symptom']"
"radionuclide ventriculography","1","['diagnostic procedure']"
"angiogram","1","['diagnostic procedure']"
"headache","1","['sign or symptom']"
"respiratory air","1","['body substance']"
"bypass","1","['therapeutic or preventive procedure']"
"goiter","1","['disease or syndrome']"
"leg","1","['body location or region']"
"mucous body substance","1","['body substance', 'neoplastic process']"
"malignant neoplasm of lung","1","['neoplastic process']"
"upper chest","1","['body location or region']"
"thymus gland","1","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"bronchoscopy","1","['diagnostic procedure']"
"plain x-ray","1","['diagnostic procedure']"
"tuberculosis","1","['disease or syndrome', 'pharmacologic substance']"
"mediastinum","1","['body location or region', 'neoplastic process']"
"lymphoma","1","['neoplastic process']"
"consciousness related finding","1","['finding']"
"malignant neoplasm of thymus","1","['neoplastic process']"
"facial swelling","1","['finding']"
"diuretics","1","['pharmacologic substance']"
"cheek structure","1","['body location or region']"
"sternum","1","['body part, organ, or organ component']"
"brain","1","['body part, organ, or organ component', 'disease or syndrome']"
"magnetic resonance imaging (mri) of chest","1","['diagnostic procedure']"
"nausea","1","['finding', 'sign or symptom']"
"does move","1","['finding']"
"lung metastases","1","['neoplastic process']"
"hypertrophy","1","['disease or syndrome', 'pathologic function', 'therapeutic or preventive procedure']"
"doppler studies","1","['diagnostic procedure']"
"nose","1","['body part, organ, or organ component', 'disease or syndrome']"
"malignant neoplasm of testis","1","['neoplastic process']"
"dizziness","1","['finding', 'sign or symptom']"
"thymus neoplasms","1","['neoplastic process']"
"airway structure","1","['body part, organ, or organ component']"
"pericarditis constrictive","1","['disease or syndrome']"
