"anasarca"
"edema"
"pharmaceutical preparations","4","['pharmacologic substance']"
"body fluids","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"kidney","2","['body part, organ, or organ component']"
"anti-inflammatory agents non-steroidal","2","['pharmacologic substance']"
"leg","2","['body location or region']"
"cirrhosis","2","['disease or syndrome']"
"albumins","2","['biologically active substance']"
"deterioration of status","1","['finding']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"liver failure","1","['disease or syndrome']"
"sodium chloride","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"thiazolidinediones","1","['organic chemical', 'pharmacologic substance']"
"swelling or edema","1","['finding']"
"anasarca","1","['pathologic function']"
"limb structure","1","['body part, organ, or organ component']"
"skin integrity impairment","1","['finding']"
"pulmonary congestion","1","['disease or syndrome']"
"acute glomerulonephritis","1","['disease or syndrome']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"blood electrolyte level result","1","['laboratory or test result']"
"short period","1","['finding']"
"diuretics","1","['pharmacologic substance']"
"burn injury","1","['finding', 'injury or poisoning']"
"hepatitis","1","['disease or syndrome', 'pharmacologic substance']"
"calcium channel blockers","1","['pharmacologic substance']"
"peripheral arterial diseases","1","['disease or syndrome', 'neoplastic process']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"dyspnea","1","['sign or symptom']"
"hypoalbuminemia","1","['finding']"
"hypoglycemic agents","1","['pharmacologic substance']"
"fluid intake","1","['clinical attribute']"
"edema nonpitting","1","['finding']"
"respiratory air","1","['body substance']"
"both legs","1","['body part, organ, or organ component']"
"renal function","1","['organ or tissue function']"
"electrolyte levels","1","['laboratory or test result']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"liver function","1","['organ or tissue function']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"sunburn","1","['injury or poisoning']"
"carney complex","1","['disease or syndrome', 'pharmacologic substance']"
"diabetes","1","['disease or syndrome']"
"pitting edema","1","['sign or symptom']"
"anabolic steroids","1","['mental or behavioral dysfunction', 'pharmacologic substance']"
"anatomic site","1","['body location or region']"
"hypertrophy","1","['disease or syndrome', 'pathologic function', 'therapeutic or preventive procedure']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"body part","1","['body location or region', 'body part, organ, or organ component']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"malnutrition","1","['disease or syndrome']"
"antihypertensive agents","1","['pathologic function', 'pharmacologic substance']"
"prednisone","1","['pharmacologic substance']"
"heart diseases","1","['disease or syndrome']"
