"dysgeusia"
"loss of taste"
"metallic taste"
"taste perception","21","['organ or tissue function']"
"esthesia","9","['finding', 'organ or tissue function']"
"problem with smell or taste","4","['finding']"
"pharmaceutical preparations","4","['pharmacologic substance']"
"nose","4","['body part, organ, or organ component', 'disease or syndrome']"
"brain","3","['body part, organ, or organ component', 'disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"flavor perception","2","['organ or tissue function']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"smoking","2","['hazardous or poisonous substance', 'individual behavior']"
"common cold","2","['disease or syndrome', 'finding']"
"gingiva","1","['body part, organ, or organ component', 'pharmacologic substance']"
"swelling","1","['finding', 'pathologic function']"
"salivary glands","1","['body part, organ, or organ component', 'disease or syndrome']"
"gland","1","['body part, organ, or organ component']"
"penicillamine","1","['pharmacologic substance']"
"anorexia","1","['disease or syndrome', 'finding']"
"ask question","1","['finding']"
"taste sweet","1","['sign or symptom']"
"sinusitis","1","['disease or syndrome']"
"hypersensitivity","1","['clinical attribute', 'finding', 'pathologic function']"
"respiratory abnormality unspecified","1","['sign or symptom']"
"nasal infection","1","['disease or syndrome']"
"lithium","1","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"streptococcal sore throat","1","['disease or syndrome']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"griseofulvin","1","['organic chemical', 'pharmacologic substance']"
"pharyngitis","1","['disease or syndrome', 'sign or symptom']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"rifampin","1","['antibiotic', 'organic chemical']"
"abnormal taste","1","['sign or symptom']"
"gingivitis","1","['disease or syndrome']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"vitamin b 12","1","['organic chemical', 'pharmacologic substance']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"procarbazine","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"smoker","1","['finding']"
"impaired taste","1","['finding']"
"zinc deficiency disorder","1","['disease or syndrome']"
"dysgeusia","1","['finding']"
"xerostomia","1","['sign or symptom']"
"tongue","1","['body location or region', 'body part, organ, or organ component']"
"bitter taste","1","['sign or symptom']"
