"inflammation of the tendon sheath"
"tendon structure","16","['body part, organ, or organ component']"
"inflammation","9","['pathologic function']"
"tenosynovitis","8","['disease or syndrome']"
"wrist","4","['body location or region']"
"hand","3","['body part, organ, or organ component']"
"redness","2","['finding']"
"wrist+hand","2","['body part, organ, or organ component']"
"affected area","2","['finding']"
"tendon sheath","2","['body part, organ, or organ component']"
"antibiotics","2","['antibiotic']"
"foot","2","['body part, organ, or organ component']"
"incised wound","2","['injury or poisoning']"
"limb structure","2","['body part, organ, or organ component']"
"injection procedure","1","['therapeutic or preventive procedure']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"muscle strain","1","['injury or poisoning']"
"cumulative trauma disorders","1","['disease or syndrome']"
"strengthening exercises","1","['therapeutic or preventive procedure']"
"prompt","1","['pharmacologic substance']"
"difficulty moving","1","['finding']"
"sore to touch","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"physical therapy exercises","1","['therapeutic or preventive procedure']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"anti-inflammatory agents non-steroidal","1","['pharmacologic substance']"
"set of muscles","1","['body part, organ, or organ component']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"fever","1","['finding']"
"physical findings","1","['finding']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"rupture","1","['body substance', 'finding', 'injury or poisoning']"
"pain and tenderness","1","['sign or symptom']"
"pus","1","['body substance']"
"joint swelling","1","['sign or symptom']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"synovial membrane","1","['body part, organ, or organ component']"
"stiffness","1","['sign or symptom']"
