"lump in the testicle"
"testis","17","['body part, organ, or organ component', 'disease or syndrome']"
"mass of body structure","13","['finding']"
"malignant neoplasms","8","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"malignant neoplasm of testis","7","['neoplastic process']"
"testicular dysfunction","4","['disease or syndrome']"
"multiple endocrine neoplasia","4","['antibiotic', 'neoplastic process', 'organic chemical']"
"spermatic cord torsion","2","['disease or syndrome']"
"varicocele","2","['disease or syndrome']"
"testicular hydrocele","1","['disease or syndrome']"
"epididymitis","1","['disease or syndrome']"
"tissue growth","1","['organ or tissue function']"
"cryptorchidism","1","['congenital abnormality']"
"encounter due to puberty","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"mumps orchitis","1","['disease or syndrome']"
"scrotal sac","1","['body part, organ, or organ component']"
"swelling of scrotum","1","['sign or symptom']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"testicular mass","1","['finding']"
"intestines","1","['body part, organ, or organ component']"
"spermatocele","1","['disease or syndrome']"
"ask question","1","['finding']"
