"lockjaw"
"trismus"
"tetanus","17","['disease or syndrome']"
"spasm","12","['sign or symptom']"
"injury wounds","8","['body substance', 'injury or poisoning']"
"tetany","5","['disease or syndrome']"
"set of muscles","5","['body part, organ, or organ component']"
"poisons","4","['hazardous or poisonous substance']"
"booster","4","['therapeutic or preventive procedure']"
"oxygen","3","['pharmacologic substance']"
"fracture","3","['finding', 'injury or poisoning']"
"transverse cerebellar diameter","3","['clinical attribute', 'disease or syndrome', 'pharmacologic substance']"
"nail plate","3","['body part, organ, or organ component', 'body substance']"
"brain injuries","2","['injury or poisoning']"
"administration of tetanus toxoid","2","['therapeutic or preventive procedure']"
"cardiac arrest","2","['disease or syndrome', 'finding']"
"tissue damage","2","['injury or poisoning']"
"debridement","1","['therapeutic or preventive procedure']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"meningitis","1","['disease or syndrome']"
"tears - specimentype","1","['body substance']"
"increased sweating","1","['sign or symptom']"
"muscle tears","1","['injury or poisoning']"
"tetanus immune globulin human","1","['pharmacologic substance']"
"sedatives","1","['pharmacologic substance']"
"nerve block","1","['therapeutic or preventive procedure']"
"back muscle spasm","1","['disease or syndrome']"
"spinal cord","1","['body part, organ, or organ component', 'disease or syndrome']"
"open wound","1","['injury or poisoning']"
"physical findings","1","['finding']"
"diazepam","1","['organic chemical', 'pharmacologic substance']"
"neurological observations","1","['finding']"
"source","1","['finding']"
"jaw","1","['body part, organ, or organ component']"
"mild adverse event","1","['finding']"
"chest","1","['body location or region', 'disease or syndrome']"
"sweating fever","1","['disease or syndrome']"
"respiratory abnormality unspecified","1","['sign or symptom']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"diphtheria-tetanus-acellular pertussis vaccines","1","['pharmacologic substance']"
"immunoglobulins","1","['pharmacologic substance']"
"does carry","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"hand","1","['body part, organ, or organ component']"
"antibiotics","1","['antibiotic']"
"hypoxia","1","['finding', 'pathologic function']"
"foot","1","['body part, organ, or organ component']"
"tetanospasmin","1","['enzyme']"
"strychnine poisoning","1","['injury or poisoning']"
"tetanus toxoid vaccine inactivated","1","['pharmacologic substance']"
"respiratory arrest","1","['pathologic function']"
"tooth structure","1","['body part, organ, or organ component']"
"adverse event associated with death","1","['finding']"
"neck","1","['body location or region']"
"dimesna","1","['organic chemical', 'pharmacologic substance']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"nuchal region","1","['body location or region']"
"opisthotonus","1","['sign or symptom']"
"abdominal muscles","1","['body part, organ, or organ component']"
"pneumonia","1","['disease or syndrome']"
"feces","1","['body substance']"
"vertebral column","1","['body part, organ, or organ component']"
"diphtheria","1","['disease or syndrome']"
"childhood immunization","1","['therapeutic or preventive procedure']"
"globulins","1","['biologically active substance', 'laboratory or test result']"
"skeletal muscle structure of back","1","['body part, organ, or organ component']"
"irritable mood","1","['finding']"
"wounds and injuries","1","['injury or poisoning']"
