"paralysed","5","['finding']"
"tick paralysis","2","['disease or syndrome']"
"dyspnea","2","['sign or symptom']"
"excision","2","['therapeutic or preventive procedure']"
"tick-borne diseases","1","['disease or syndrome']"
"poisons","1","['hazardous or poisonous substance']"
"hair","1","['body part, organ, or organ component']"
"limb structure","1","['body part, organ, or organ component']"
"female","1","['finding']"
"lower body","1","['body part, organ, or organ component']"
"paralytic shellfish poisoning","1","['injury or poisoning']"
"triptorelin","1","['pharmacologic substance']"
"source","1","['finding']"
"gait ataxia","1","['sign or symptom']"
"botulism","1","['injury or poisoning']"
"gait unsteady","1","['finding']"
"toxin","1","['biologically active substance', 'hazardous or poisonous substance']"
"insect extract","1","['pharmacologic substance']"
"upper extremity","1","['body location or region', 'body part, organ, or organ component']"
"both legs","1","['body part, organ, or organ component']"
"leg","1","['body location or region']"
"weakness","1","['sign or symptom']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"neurotoxins","1","['hazardous or poisonous substance']"
"bony process","1","['body part, organ, or organ component']"
"does move","1","['finding']"
"myalgia","1","['finding', 'sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"repellent","1","['hazardous or poisonous substance']"
"bite injury","1","['injury or poisoning', 'organ or tissue function']"
"insect repellents","1","['hazardous or poisonous substance']"
"muscle function","1","['finding', 'organ or tissue function']"
